CODICE FISCALE   HB5ORS AQJ F MZ ,  DATI ANAGRAFICI <START:Name> ABATE ABACO <END>  POK 26 02 1912 F ABANO TERME  AG CODICE FISCALE 
ICE FISCALE TDUWP VFJOI159NG , ATI ANAGRAFICI <START:Name> LATINA FREA <END> 06 05 1943 F CASELLE TORINESE  P O CODICE FISCALE 
ICE FISCALE I SFVUEH GPAB LX , ATI ANAGRAFICI <START:Name> LATINO FROSINA <END> 2203 1997 M CASERTA  R G CODICE FISCALE 
ICE FISCALE CQNRV1S8M5P  E6X , ATI ANAGRAFICI <START:Name> LATO FLORANGELA <END> 2 O 0 8 2009 M CASIER  R A CODICE FISCALE 
ICE FISCALE VT FOUG8S 95HD K , ATI ANAGRAFICI <START:Name> LATORRE FLORIDANA <END> O 4 4 0 4 8 O O  F CASIGNANA  R C CODICE FISCALE 
ICE FISCALE  ABGZR SI1XD C8J , ATI ANAGRAFICI <START:Name> LATORTA FONTE <END> OO771910 F CASINA  R E CODICE FISCALE 
ICE FISCALE UTQF8BN 59PMHGVK , ATI ANAGRAFICI <START:Name> LATTANZI FRAGOLINA <END> 0305 1912 M CASIRATE D'ADDA  R I CODICE FISCALE 
ICE FISCALE XTI U9MQD56 LE G , ATI ANAGRAFICI <START:Name> LATTANZIO FREDA <END>  9  O83105  M CASLINO D'ERBA  R N CODICE FISCALE 
ICE FISCALE CVEUMLYH1BZW95KO , ATI ANAGRAFICI <START:Name> LATTARI FRUTTUOSA <END> 23051941 F CASNATE CON BERNATE  R M CODICE FISCALE 
ICE FISCALE OQIF SHBGD P51RZ , ATI ANAGRAFICI <START:Name> LATTARULO FLORANNA <END> 13 08 1927 F CASNIGO  R O CODICE FISCALE 
ICE FISCALE FQNEW VHTA  9 6K , ATI ANAGRAFICI <START:Name> LATTE FLORIDE <END> 0803 1954 F CASOLA DI NAPOLI  S A CODICE FISCALE 
ICE FISCALE  PWMK TUB19 O85V , ATI ANAGRAFICI <START:Name> LATTIERI FONTINA <END> 8 1 2 0 2014 M CASOLA IN LUNIGIANA  S S CODICE FISCALE 
ICE FISCALE U GARIC85OTZJYQL , ATI ANAGRAFICI <START:Name> LATTUCA FRANCA <END> 1 8 O 9 3 8 4 2  M CASOLA VALSENIO  S V CODICE FISCALE 
ICE FISCALE  I6 MWXDC8VL1Y9O , ATI ANAGRAFICI <START:Name> LAUBEATA FREDESVINDA <END> O5041905 F CASOLE D'ELSA  S I CODICE FISCALE 
ICE FISCALE CTKA1ZGNOW   ESI , ATI ANAGRAFICI <START:Name> LAUCADOLA FULBERTA <END> 6557 1902 F CASOLI  S R CODICE FISCALE 
ICE FISCALE G RPMFL YU K6VAJ , ATI ANAGRAFICI <START:Name> LAUCILLA FLORE <END> O6527   038 F CASORATE PRIMO  S O CODICE FISCALE 
ICE FISCALE L J5RE 6ON9AM DW , ATI ANAGRAFICI <START:Name> LAUDADIO FLORIDEA <END> 20101902 F CASORATE SEMPIONE  T A CODICE FISCALE 
ICE FISCALE  AGB KYVRE5P9FJ  , ATI ANAGRAFICI <START:Name> LAUDANNA FORESTA <END> 28 01 1939 M CASOREZZO  T E CODICE FISCALE 
ICE FISCALE U X POE8J5691NFL , ATI ANAGRAFICI <START:Name> LAUDATO FRANCANGELA <END> 2201 1977 F CASORIA  T R CODICE FISCALE 
ICE FISCALE SK AY8 QH95VBUTP , ATI ANAGRAFICI <START:Name> LAURAVELLA FREDIANA <END> 8 7 6 O 2015 F CASORZO  T P CODICE FISCALE 
ICE FISCALE KHR  IJEUWPLFVBZ , ATI ANAGRAFICI <START:Name> LAURCELLA FULDA <END> 8 8 9 6 2 5 9 3  M CASPERIA  T N CODICE FISCALE 
ICE FISCALE ZR J8LUNKYTHGPQ  , ATI ANAGRAFICI <START:Name> LAURETTA FLOREANA <END> 54521902 M CASPOGGIO  T V CODICE FISCALE 
ICE FISCALE 96ACJURGYNE WV Z , ATI ANAGRAFICI <START:Name> LAURETTI FLORIDIA <END> 53O6 1912 M CASSACCO  T S CODICE FISCALE 
ICE FISCALE PJHOW IE  61UCFY , ATI ANAGRAFICI <START:Name> LAURI FORESTINA <END> 5 2O74 O  8 M CASSAGO BRIANZA  T O CODICE FISCALE 
ICE FISCALE PN9G W5Z 16H8SOV , ATI ANAGRAFICI <START:Name> LAURIA FRANCHETTA <END> 04011985 M CASSANO ALL'IONIO  U D CODICE FISCALE 
ICE FISCALE WAYHG9P XTBZ8VR1 , ATI ANAGRAFICI <START:Name> LAURICANA FREDINA <END> 08 03 1972 F CASSANO D'ADDA  V A CODICE FISCALE 
ICE FISCALE Y MXVL9DK B15E8F , ATI ANAGRAFICI <START:Name> LAURICELLA FULGENZIA <END> 1809 1950 F CASSANO DELLE MURGE  V E CODICE FISCALE 
ICE FISCALE  5UAF SEO NWXBPT , ATI ANAGRAFICI <START:Name> LAURICUA FLOREANNA <END> 9 O 0 O 2014 F CASSANO IRPINO  V B CODICE FISCALE 
ICE FISCALE XGOC AMJ1TUL DFB , ATI ANAGRAFICI <START:Name> LAURIECK FLORIDIANA <END> 3 9 6 7 2 8 3 4  M CASSANO MAGNAGO  V C CODICE FISCALE 
ICE FISCALE NR9 KQY8BA 5EOL  , ATI ANAGRAFICI <START:Name> LAURIERI FORIMMA <END> 3O531909 M CASSANO SPINOLA  V R CODICE FISCALE 
ICE FISCALE Z9X8D 6PS1YQJHO  , ATI ANAGRAFICI <START:Name> LAURINI FRANCHINA <END> 12O5 1904 M CASSANO VALCUVIA  V V CODICE FISCALE 
ICE FISCALE V5NYIP98DQMHB U  , ATI ANAGRAFICI <START:Name> LAURITANO FREDOLINA <END> 7 O8 02635O   F CASSARO  V I CODICE FISCALE 
ICE FISCALE   5 W L8SGOT9ZBV , ATI ANAGRAFICI <START:Name> LAURITO FULGENZINA <END> 08051905 M CASSIGLIO  V T CODICE FISCALE 
ICE FISCALE V UCSE 9KX6R1Y W , ATI ANAGRAFICI <START:Name> LAURLCELLO FLOREDANA <END> 10 10 1930 F CASSINA DE' PECCHI  A G CODICE FISCALE 
ICE FISCALE I AH6O85W GFK DX , ATI ANAGRAFICI <START:Name> LAURO FLORIELLA <END> 2901 1901 F CASSINA RIZZARDI  A L CODICE FISCALE 
ICE FISCALE STC E IHLM  1YDX , ATI ANAGRAFICI <START:Name> LAURORA FORNARINA <END> 2 O 9 O 2017 M CASSINA VALSASSINA  A N CODICE FISCALE 
ICE FISCALE RF8 J1CALBD  6YK , ATI ANAGRAFICI <START:Name> LAUTERO FRANCOLINA <END> 3 O 7 9 6 6 0 5  F CASSINASCO  A O CODICE FISCALE 
ICE FISCALE RXDC Z9E AN5 Q8W , ATI ANAGRAFICI <START:Name> LAVA FREIA <END> 07601902 M CASSINE  A R CODICE FISCALE 
ICE FISCALE U I QKG9SHM LF A , ATI ANAGRAFICI <START:Name> LAVACAPI FULGIDA <END> 56O6 1909 F CASSINELLE  A P CODICE FISCALE 
ICE FISCALE AXV5PUKT RDZ QCW , ATI ANAGRAFICI <START:Name> LAVAGEINIA FLORELLA <END> O69  75O 23 M CASSINETTA DI LUGAGNANO  A T CODICE FISCALE 
ICE FISCALE 9KNP YBMSW5 AQZT , ATI ANAGRAFICI <START:Name> LAVAGGETTO FLORIGIA <END> 16081942 M CASSINO  A V CODICE FISCALE 
ICE FISCALE VHGB1X8A W ZSDQR , ATI ANAGRAFICI <START:Name> LAVAGNA FORTEZZA <END> 21 04 1993 F CASSOLA  B A CODICE FISCALE 
ICE FISCALE SDNG9IP  BLYOC X , ATI ANAGRAFICI <START:Name> LAVAGNOLI FRANCUCCIA <END> 1201 1909 M CASSOLNOVO  B T CODICE FISCALE 
ICE FISCALE TNWV YE  OMKBX 1 , ATI ANAGRAFICI <START:Name> LAVANDOLI FREIDA <END> 2 O 4 1 2016 M CASTAGNARO  B L CODICE FISCALE 
ICE FISCALE A8G9 XUTEY6BCFDP , ATI ANAGRAFICI <START:Name> LAVANGA FULVA <END> 8 O 4 O 4 8 7 3  F CASTAGNETO CARDUCCI  B N CODICE FISCALE 
ICE FISCALE SCADEW  6HL  IXR , ATI ANAGRAFICI <START:Name> LAVARELLA FLORENA <END> 72761909 F CASTAGNETO PO  B G CODICE FISCALE 
ICE FISCALE F85I6 V U9RHGPA1 , ATI ANAGRAFICI <START:Name> LAVAZZOLA FLORINA <END> 0289 1918 F CASTAGNITO  B I CODICE FISCALE 
ICE FISCALE P GOXBKVSLTQY1 U , ATI ANAGRAFICI <START:Name> LAVEGNO FORTINA <END>  OO1 9 43 806 F CASTAGNOLE DELLE LANZE  B O CODICE FISCALE 
ICE FISCALE B6J5  9OLCE8VGXS , ATI ANAGRAFICI <START:Name> LAVELLA FRANCESCA <END> 14041923 M CASTAGNOLE MONFERRATO  B Z CODICE FISCALE 
ICE FISCALE TKOBU E61ZWH 9 D , ATI ANAGRAFICI <START:Name> LAVERDI FRENESIA <END> 30 06 1909 F CASTAGNOLE PIEMONTE  B S CODICE FISCALE 
ICE FISCALE 1ZMIE  Q5GPJCV9R , ATI ANAGRAFICI <START:Name> LAVEZZARI FULVIA <END> 1109 1951 M CASTANA  B R CODICE FISCALE 
ICE FISCALE MVFWS5DIEYL OBX8 , ATI ANAGRAFICI <START:Name> LAVEZZI FLORENTIA <END> 0 0 6 O 2008 F CASTANO PRIMO  C A CODICE FISCALE 
ICE FISCALE GJVW9YNOP5ZXK  U , ATI ANAGRAFICI <START:Name> LAVEZZOLA FLORINDA <END> 7 1 O 7 O 1 O 0  F CASTEGGIO  C L CODICE FISCALE 
ICE FISCALE F VWQKS6HE1P 9 T , ATI ANAGRAFICI <START:Name> LAVINCENZO FORTUNA <END> O6O11919 M CASTEGNATO  C B CODICE FISCALE 
ICE FISCALE E R9U KIBM GCZ8O , ATI ANAGRAFICI <START:Name> LAVINI FRANCESCANA <END> 4537 1903 F CASTEGNERO  C I CODICE FISCALE 
ICE FISCALE X51K98 DAQSVJ TH , ATI ANAGRAFICI <START:Name> LAVORANTE FRERA <END>  6 7132OO0  M CASTEL BARONIA  C E CODICE FISCALE 
ICE FISCALE XI DT9UO AS VF B , ATI ANAGRAFICI <START:Name> LAVORATO FULVIANA <END> 26071941 F CASTEL BOGLIONE  C T CODICE FISCALE 
ICE FISCALE  C8I9LUWRSO5 YPA , ATI ANAGRAFICI <START:Name> LAVORATORE FLORENTINA <END> 11 10 1950 M CASTEL BOLOGNESE  C Z CODICE FISCALE 
ICE FISCALE 9CRO8WT 5S6ZUYK  , ATI ANAGRAFICI <START:Name> LAZIO FLORIS <END> 0709 1975 F CASTEL CAMPAGNANO  C H CODICE FISCALE 
ICE FISCALE QERWNI 1 S KVTDB , ATI ANAGRAFICI <START:Name> LAZZARA FORTUNANTA <END> 8 7 6 9 2007 F CASTEL CASTAGNA  C O CODICE FISCALE 
ICE FISCALE TIYXG1Q 9JVE  NC , ATI ANAGRAFICI <START:Name> LAZZARO FRANCESCANGELA <END> 8 O 0 1 8 1 9 5  M CASTEL CONDINO  C S CODICE FISCALE 
ICE FISCALE PUTMLSA9 5X6 HD  , ATI ANAGRAFICI <START:Name> LAZZARO FRESA <END> 35O81905 M CASTEL D'AIANO  C R CODICE FISCALE 
ICE FISCALE H1BUC DT WQVYZLE , ATI ANAGRAFICI <START:Name> LAZZARONE FURIA <END> O373 1907 M CASTEL D'ARIO  K R CODICE FISCALE 
ICE FISCALE OC9XUJG V FNS DY , ATI ANAGRAFICI <START:Name> LAZZONE FLORENZA <END> 3 6 7  9025 M CASTEL D'AZZANO  C N CODICE FISCALE 
ICE FISCALE MJREHSAOLPU CGI  , ATI ANAGRAFICI <START:Name> LAZZURO FLORISA <END> 22111949 F CASTEL DEL GIUDICE  E N CODICE FISCALE 
ICE FISCALE U C5BLWY PHOJ1Q  , ATI ANAGRAFICI <START:Name> LEALE FORTUNATA <END> 11 10 1929 M CASTEL DEL MONTE  F M CODICE FISCALE 
ICE FISCALE HYAL E6UC ONMJFB , ATI ANAGRAFICI <START:Name> LEANDRO FRANCESCANTONIA <END> 2401 1931 M CASTEL DEL PIANO  F E CODICE FISCALE 
ICE FISCALE B 8 6IFC 9 SNRJU , ATI ANAGRAFICI <START:Name> LEARDI FRESIA <END> 7 5 O 0 2018 F CASTEL DEL RIO  F I CODICE FISCALE 
ICE FISCALE 8JR1C OQPAW5 EY6 , ATI ANAGRAFICI <START:Name> LEATURRO FURIETTA <END> 3 9 O 6 9 1 5 2  F CASTEL DI CASIO  F G CODICE FISCALE 
ICE FISCALE S8UEDMA5LWNBQ6P  , ATI ANAGRAFICI <START:Name> LEBERTO FLORENZIA <END> 6O821906 F CASTEL DI IERI  F C CODICE FISCALE 
ICE FISCALE 6PESBLAOG J9N 1R , ATI ANAGRAFICI <START:Name> LECCARDO FLORISE <END> 5323 1912 M CASTEL DI IUDICA  F R CODICE FISCALE 
ICE FISCALE OPFW NCK1LG AJZE , ATI ANAGRAFICI <START:Name> LECCI FORTUNATELLA <END> 9 05  2 74O M CASTEL DI LAMA  G E CODICE FISCALE 
ICE FISCALE JHYBNRA8516 PEG  , ATI ANAGRAFICI <START:Name> LEDONNE FRANCESCHELLA <END> 07041926 M CASTEL DI LUCIO  G O CODICE FISCALE 
ICE FISCALE HMJO9N1F CKQZT5I , ATI ANAGRAFICI <START:Name> LEDOTI FRESINA <END> 08 11 1925 M CASTEL DI SANGRO  G R CODICE FISCALE 
ICE FISCALE WI8RA DLOZVM5 9P , ATI ANAGRAFICI <START:Name> LEGALLA FURIMMA <END> 2704 1999 F CASTEL DI SASSO  I M CODICE FISCALE 
ICE FISCALE OFEBZV XP8N T1WQ , ATI ANAGRAFICI <START:Name> LEGGIADRO FLORENZIANA <END> 0 4 8 1 2008 M CASTEL DI TORA  I S CODICE FISCALE 
ICE FISCALE F1P5RDW8OTHGAZ   , ATI ANAGRAFICI <START:Name> LEGGIO FLORISIA <END> 0 1 6 2 4 3 8 3  M CASTEL FOCOGNANO  S P CODICE FISCALE 
ICE FISCALE MT IFP D5NRQ ZJB , ATI ANAGRAFICI <START:Name> LEGGITORE FORTUNATINA <END> 40O21912 F CASTEL FRENTANO  A Q CODICE FISCALE 
ICE FISCALE 8VZCA GM6BF5 YKQ , ATI ANAGRAFICI <START:Name> LEGNAIUOLO FRANCESCHINA <END> 1368 1916 M CASTEL GABBIANO  L T CODICE FISCALE 
ICE FISCALE 1RXDTZKUVGNSEC Y , ATI ANAGRAFICI <START:Name> LEGNAZZI FRIDA <END> 5 OO1 362 78  F CASTEL GANDOLFO  L E CODICE FISCALE 
ICE FISCALE MYBW ZS Q8EJ X 6 , ATI ANAGRAFICI <START:Name> LEHERO FURTUNATA <END> 10021937 M CASTEL GIORGIO  L C CODICE FISCALE 
ICE FISCALE Y8HVM 5ISTXG ZAU , ATI ANAGRAFICI <START:Name> LELMO FLORES <END> 06 07 1900 F CASTEL GOFFREDO  L I CODICE FISCALE 
ICE FISCALE R L PB5 JKC 6SW9 , ATI ANAGRAFICI <START:Name> LELUSA FLORITA <END> 0510 1953 F CASTEL GUELFO DI BOLOGNA  L O CODICE FISCALE 
ICE FISCALE AWDK 6V BZ HXGFT , ATI ANAGRAFICI <START:Name> LEMBI FORTUNELLA <END> 7 8 4 9 2007 M CASTEL IVANO  L U CODICE FISCALE 
ICE FISCALE SGCU6F VQ JYN5TE , ATI ANAGRAFICI <START:Name> LEMBO FRANCESCHITTA <END> 0 4 O 9 0 O 7 9  M CASTEL MADAMA  M C CODICE FISCALE 
ICE FISCALE  INX5F6TY9P1CSZ  , ATI ANAGRAFICI <START:Name> LEMOLE FRIDDA <END> 14741918 M CASTEL MAGGIORE  M N CODICE FISCALE 
ICE FISCALE AHQ TDW5 VEX L F , ATI ANAGRAFICI <START:Name> LENA FUSCA <END> 8O43 1907 F CASTEL MELLA  M S CODICE FISCALE 
ICE FISCALE OXL IWGBPZD8HNMQ , ATI ANAGRAFICI <START:Name> LENCIO FLORESITA <END> 6 28 9 30 5 M CASTEL MORRONE  M T CODICE FISCALE 
ICE FISCALE  RHK M9DZ CU8BL5 , ATI ANAGRAFICI <START:Name> LENNA FOCA <END> 29091985 M CASTEL RITALDI  V S CODICE FISCALE 
ICE FISCALE HCMGBATU QPRSW I , ATI ANAGRAFICI <START:Name> LENNARDO FORTUNIA <END> 22 11 1996 F CASTEL ROCCHERO  M E CODICE FISCALE 
ICE FISCALE D EMRXL 1A8PCSIQ , ATI ANAGRAFICI <START:Name> LENTICCHIA FRANCIA <END> 0911 1913 F CASTEL ROZZONE  M I CODICE FISCALE 
ICE FISCALE EJ1UVQZB8IMKFO5A , ATI ANAGRAFICI <START:Name> LENTINI FRIDE <END> O 3 9 O 2005 F CASTEL SAN GIORGIO  M O CODICE FISCALE 
ICE FISCALE FXB6 KC5RLZUA 1T , ATI ANAGRAFICI <START:Name> LENTO FUTURA <END> 5 O 1 0 O 0 5 0  F CASTEL SAN GIOVANNI  M B CODICE FISCALE 
ICE FISCALE VO6 DK9LAGHQYI 1 , ATI ANAGRAFICI <START:Name> LENVO GABIRIA <END> O4561917 M CASTEL SAN LORENZO  N A CODICE FISCALE 
ICE FISCALE KVRY D5XH 9 6S 8 , ATI ANAGRAFICI <START:Name> LENZI GAUDENZIA <END> 0O2O 1900 M CASTEL SAN NICCOLÒ  N O CODICE FISCALE 
ICE FISCALE L81HEKBFXURQ5SJV , ATI ANAGRAFICI <START:Name> LENZO GENESIA <END> O 62 470 8O M CASTEL SAN PIETRO ROMANO  N U CODICE FISCALE 
ICE FISCALE P  EHNFTGV BD K  , ATI ANAGRAFICI <START:Name> LENZUOLO GERALDINA <END> 27021913 F CASTEL SAN PIETRO TERME  O G CODICE FISCALE 
ICE FISCALE TGZ 5JX8CRA HD6V , ATI ANAGRAFICI <START:Name> LEOFANTE GESUELLA <END> 09 06 1986 M CASTEL SAN VINCENZO  O T CODICE FISCALE 
ICE FISCALE TLUN   ROHJIM EK , ATI ANAGRAFICI <START:Name> LEOLENCIO GIANNA <END> 1110 1963 F CASTEL SANT'ANGELO  O R CODICE FISCALE 
ICE FISCALE   O1X H6I K 5UVD , ATI ANAGRAFICI <START:Name> LEOLINO GABRIELA <END> 5 0 6 5 2004 F CASTEL SANT'ELIA  P D CODICE FISCALE 
ICE FISCALE 1FAUNY PZM BRQEJ , ATI ANAGRAFICI <START:Name> LEONARDI GAUDENZINA <END> 9 2 0 O O O 4 9  F CASTEL VISCARDO  P A CODICE FISCALE 
ICE FISCALE  EPHY6KAFD1VXNG  , ATI ANAGRAFICI <START:Name> LEONARDO GENIA <END> 75OO1901 M CASTEL VITTORIO  P R CODICE FISCALE 
ICE FISCALE YJ HWRN1Q6DU B Z , ATI ANAGRAFICI <START:Name> LEONCAVALLO GERARDA <END> 7936 1917 M CASTEL VOLTURNO  P V CODICE FISCALE 
ICE FISCALE 68KFWUXZLDG5OPEH , ATI ANAGRAFICI <START:Name> LEONCILLO GESUINA <END> O1 80 2 7O54 F CASTELBALDO  P G CODICE FISCALE 
ICE FISCALE O JYEF  S QH W6D , ATI ANAGRAFICI <START:Name> LEONE GIANNANGELA <END> 25011937 M CASTELBELFORTE  P U CODICE FISCALE 
ICE FISCALE VX YHGP9IUS CQRL , ATI ANAGRAFICI <START:Name> LEONETTE GABRIELINA <END> 05 02 1916 F CASTELBELLINO  P E CODICE FISCALE 
ICE FISCALE SE DWOXK F6LTI R , ATI ANAGRAFICI <START:Name> LEONI GAUDINA <END> 2110 1960 M CASTELBELLO-CIARDES  P C CODICE FISCALE 
ICE FISCALE JH  1 N9FPTZCA6U , ATI ANAGRAFICI <START:Name> LEONILLO GENINA <END> O O 3 2 2010 F CASTELBIANCO  P I CODICE FISCALE 
ICE FISCALE BO1A5LX ZKUG8CNI , ATI ANAGRAFICI <START:Name> LEONTINO GERARDINA <END> 6 0 6 4 7 O 2 9  F CASTELBOTTACCIO  P T CODICE FISCALE 
ICE FISCALE Y5 SH9TAN I M8Z  , ATI ANAGRAFICI <START:Name> LEOPANTO GESUMINA <END> 3O941904 M CASTELBUONO  P N CODICE FISCALE 
ICE FISCALE VMGUDBRLPKYH9WZC , ATI ANAGRAFICI <START:Name> LEOPARDI GIANNANTONIA <END> 09O6 1913 M CASTELCIVITA  P Z CODICE FISCALE 
ICE FISCALE MGUN   8VFJQHY9K , ATI ANAGRAFICI <START:Name> LEOPOLODE GABRIELLA <END> 1 3O 8602749  F CASTELCOVATI  P O CODICE FISCALE 
ICE FISCALE J YCB NIUDSPW T8 , ATI ANAGRAFICI <START:Name> LEOPORE GAUDIOSA <END> 18041993 M CASTELCUCCO  R G CODICE FISCALE 
ICE FISCALE HBKA8XRWF TU1ZDM , ATI ANAGRAFICI <START:Name> LEOPORINI GENISIA <END> 06 11 1964 F CASTELDACCIA  R A CODICE FISCALE 
ICE FISCALE  PH YEZR LX 1OBJ , ATI ANAGRAFICI <START:Name> LEORCE GERBINA <END> 0809 1987 F CASTELDELCI  R C CODICE FISCALE 
ICE FISCALE WCVS1R8G  9IHMZD , ATI ANAGRAFICI <START:Name> LEORDINO GETTULIA <END> 3 O 2 6 2010 F CASTELDELFINO  R E CODICE FISCALE 
ICE FISCALE  ZG UPBJEKQXL1 R , ATI ANAGRAFICI <START:Name> LEORE GIANNELLA <END> 7 4 6 8 6 2 3 O  F CASTELDIDONE  R I CODICE FISCALE 
ICE FISCALE IQEGUFS NL TRY1H , ATI ANAGRAFICI <START:Name> LEORIE GAETANA <END> 10731909 M CASTELFIDARDO  R N CODICE FISCALE 
ICE FISCALE LPT9 E HOZ1QA8M6 , ATI ANAGRAFICI <START:Name> LEORINO GAVINA <END> 6770 1908 F CASTELFIORENTINO  R M CODICE FISCALE 
ICE FISCALE PVAGLQ6ZD RH XFC , ATI ANAGRAFICI <START:Name> LEPANTO GENNAIA <END> O74  6  239 M CASTELFONDO  R O CODICE FISCALE 
ICE FISCALE 8 EO  KR GJQ6LAU , ATI ANAGRAFICI <START:Name> LEPIDO GERINA <END> 24021997 F CASTELFORTE  S A CODICE FISCALE 
ICE FISCALE XYM   WV USKPOJZ , ATI ANAGRAFICI <START:Name> LEPPORE GETULIA <END> 19 04 1900 F CASTELFRANCI  S S CODICE FISCALE 
ICE FISCALE JTLQ9I5  EFBDYC  , ATI ANAGRAFICI <START:Name> LEPPORI GIANNETTA <END> 1811 1914 F CASTELFRANCO PIANDISCÒ  S V CODICE FISCALE 
ICE FISCALE  MW5XTA EH V  RQ , ATI ANAGRAFICI <START:Name> LEPRI GAETANELLA <END> 4 8 6 3 2001 F CASTELFRANCO DI SOTTO  S I CODICE FISCALE 
ICE FISCALE GFSQUPL5KB HTA   , ATI ANAGRAFICI <START:Name> LERDA GAVINUCCIA <END> 0 2 0 1 7 6 1 2  M CASTELFRANCO EMILIA  S R CODICE FISCALE 
ICE FISCALE ASN FDJHV UY RQE , ATI ANAGRAFICI <START:Name> LEREGA GENNARA <END> 7O551901 F CASTELFRANCO IN MISCANO  S O CODICE FISCALE 
ICE FISCALE  L8KOZWGYPBA R   , ATI ANAGRAFICI <START:Name> LERO GERLANDA <END> 9462 1905 M CASTELFRANCO VENETO  T A CODICE FISCALE 
ICE FISCALE U6VEL5 XTP YZ OB , ATI ANAGRAFICI <START:Name> LEROCCO GHERARDA <END> 7  64 13O8  F CASTELGERUNDO  T E CODICE FISCALE 
ICE FISCALE GSR B DMEYXONICT , ATI ANAGRAFICI <START:Name> LEROI GIANNINA <END> 10071947 M CASTELGOMBERTO  T R CODICE FISCALE 
ICE FISCALE ZVBN58 XK R9 WDT , ATI ANAGRAFICI <START:Name> LERTORA GAETANINA <END> 22 06 1964 F CASTELGRANDE  T P CODICE FISCALE 
ICE FISCALE 8 LNAXH5G  S ZTJ , ATI ANAGRAFICI <START:Name> LERVERONE GEA <END> 2003 1980 M CASTELGUGLIELMO  T N CODICE FISCALE 
ICE FISCALE MWB  FV1AGT65JES , ATI ANAGRAFICI <START:Name> LESCARE GENNARINA <END> 4 7 5 1 2018 M CASTELGUIDONE  T V CODICE FISCALE 
ICE FISCALE HDK6FXLOQ5V  ZCS , ATI ANAGRAFICI <START:Name> LESSI GERMANA <END> 3 O 7 6 0 0 O 8  M CASTELL'ALFERO  T S CODICE FISCALE 
ICE FISCALE NJUPKAI Q9ZOYEX  , ATI ANAGRAFICI <START:Name> LESSIDIO GHINA <END> 0O581914 F CASTELL'ARQUATO  T O CODICE FISCALE 
ICE FISCALE XC IK1J9AD NOS H , ATI ANAGRAFICI <START:Name> LESTER GIANNICO <END> 5462 1910 F CASTELL'AZZARA  U D CODICE FISCALE 
ICE FISCALE A G OPD NT6IRVC9 , ATI ANAGRAFICI <START:Name> LESTORA GAIA <END> 59 6O2   487 F CASTELL'UMBERTO  V A CODICE FISCALE 
ICE FISCALE  Q1KVBCD MO ZXJA , ATI ANAGRAFICI <START:Name> LETO GELASIA <END> 19051907 M CASTELLABATE  V E CODICE FISCALE 
ICE FISCALE   H986Y NC 51JXZ , ATI ANAGRAFICI <START:Name> LETTERIELLO GENOEFFA <END> 05 04 1922 F CASTELLAFIUME  V B CODICE FISCALE 
ICE FISCALE CIQ 615BYRHGAPO  , ATI ANAGRAFICI <START:Name> LETTIERI GERMANIA <END> 2707 1911 M CASTELLALTO  V C CODICE FISCALE 
ICE FISCALE  F9TNHZYO   AIPW , ATI ANAGRAFICI <START:Name> LETTIERO GHITA <END> 2 5 2 6 2003 M CASTELLAMMARE DEL GOLFO  V R CODICE FISCALE 
ICE FISCALE ANK6 RVDP8SGH1UM , ATI ANAGRAFICI <START:Name> LETTO GIANNOZZA <END> 7 9 1 1 9 O 9 O  F CASTELLAMMARE DI STABIA  V V CODICE FISCALE 
ICE FISCALE L1KR6 VXOEP G 5B , ATI ANAGRAFICI <START:Name> LEVANTE GALATEA <END> 93OO1900 M CASTELLAMONTE  V I CODICE FISCALE 
ICE FISCALE HGC D6FPL1EIU9YJ , ATI ANAGRAFICI <START:Name> LEVANTINI GELINDA <END> 9528 1914 M CASTELLANA GROTTE  V T CODICE FISCALE 
ICE FISCALE 1JVKPQ IYX8 6 R  , ATI ANAGRAFICI <START:Name> LEVATI GENOVA <END> 2  1053 O 8 6 M CASTELLANA SICULA  A G CODICE FISCALE 
ICE FISCALE B9KWZ8O5 VN CQAJ , ATI ANAGRAFICI <START:Name> LEVERONI GERMINAL <END> 04041942 M CASTELLANETA  A L CODICE FISCALE 
ICE FISCALE N F6YMACP EW  QH , ATI ANAGRAFICI <START:Name> LEZZI GIACINTA <END> 25 05 1943 F CASTELLANIA  A N CODICE FISCALE 
ICE FISCALE  WXZ GKFS  OMLT9 , ATI ANAGRAFICI <START:Name> LI CASTRI GIANPAOLA <END> 2110 1932 M CASTELLANZA  A O CODICE FISCALE 
ICE FISCALE  JWFHTV R16CD9 B , ATI ANAGRAFICI <START:Name> LI GOTTI GALDINA <END> 3 7 O 1 2013 F CASTELLAR GUIDOBONO  A R CODICE FISCALE 
ICE FISCALE Y6 LXKT85OIWSE9G , ATI ANAGRAFICI <START:Name> LI PANI GELMA <END> O O 7 7 3 9 1 4  M CASTELLARANO  A P CODICE FISCALE 
ICE FISCALE OHKRG PMT V8DEN6 , ATI ANAGRAFICI <START:Name> LI ROCHI GENOVEFFA <END> 016O1911 M CASTELLARO  A T CODICE FISCALE 
ICE FISCALE 9KDEAUI P   RX1M , ATI ANAGRAFICI <START:Name> LI SACCHI GERMINALINA <END> 030O 1900 F CASTELLAZZO BORMIDA  A V CODICE FISCALE 
ICE FISCALE L 6U AC5PN1Y WSI , ATI ANAGRAFICI <START:Name> LI SFERI GIACOBBA <END> O 3 0276O 84 F CASTELLAZZO NOVARESE  B A CODICE FISCALE 
