CODICE FISCALE  ZVENXORP  L1F56Q ,  DATI ANAGRAFICI ABATE ABACO  POK 25 02 1963 <START:Sex> F <END> ABANO TERME  AG CODICE FISCALE 
CODICE FISCAL K VI5WHA N RZ9Y  DATI ANAGRAFICI RAGGHIANTI BELELLO 1409 1908  CODICE FISCALE 
CODICE FISCAL 1BE6SZOKRVP GMY  DATI ANAGRAFICI RAGGIA BELFANTE 3 6 O 5 2018  CODICE FISCALE 
CODICE FISCAL Y  BOLP X NH 8UR DATI ANAGRAFICI RAGGIO BELFI O 8 8 6 2 O 5 O   CODICE FISCALE 
CODICE FISCAL XTCDVN69KJQPB    DATI ANAGRAFICI RAGIONIERI BELFIGLIO 036O1907  CODICE FISCALE 
CODICE FISCAL G  15URM 9PT ZJL DATI ANAGRAFICI RAGNINI BELFIORE 7566 1907  CODICE FISCALE 
CODICE FISCAL T N  M68G5PZUCI  DATI ANAGRAFICI RAGNO BELFORTE O20 1O  7 4   CODICE FISCALE 
CODICE FISCAL KG8C5P TD6B HJ 9 DATI ANAGRAFICI RAGONESI BELGIO 25021989  CODICE FISCALE 
CODICE FISCAL KQ9WY L8S UXEC1  DATI ANAGRAFICI RAGOSO BELGIOVINE 01 08 1929  CODICE FISCALE 
CODICE FISCAL 5QZ UXPIOV6 S9CD DATI ANAGRAFICI RAGOSTA BELGRADO 0803 1933  CODICE FISCALE 
CODICE FISCAL HXDZNP5GLR FW C  DATI ANAGRAFICI RAGUA BELICI O 7 0 1 2013  CODICE FISCALE 
CODICE FISCAL ZYLC8RK G F EJXQ DATI ANAGRAFICI RAGUSA BELINI 8 8 8 2 7 1 3 O   CODICE FISCALE 
CODICE FISCAL IFATQY P KRH1BW6 DATI ANAGRAFICI RAGUSE BELLABOCCA 40O51910  CODICE FISCALE 
CODICE FISCAL D NZ UWQJIL6V9EP DATI ANAGRAFICI RAGUSEO BELLACCHINO O80O 1919  CODICE FISCALE 
CODICE FISCAL W UMRE CA Y 1GHQ DATI ANAGRAFICI RAIA BELLACHIOMA O4 19 328 0O   CODICE FISCALE 
CODICE FISCAL R 5V9OUPKDAXMS8Q DATI ANAGRAFICI RAIMONDI BELLACREA 23071901  CODICE FISCALE 
CODICE FISCAL  L WN8KZCFDGT5HS DATI ANAGRAFICI RAINA BELLADONNA 13 11 1993  CODICE FISCALE 
CODICE FISCAL XKOZVLE 8 N19H M DATI ANAGRAFICI RAINARDI BELLAFIORI 0810 1957  CODICE FISCALE 
CODICE FISCAL 51QMFNOSJVUKZ PX DATI ANAGRAFICI RAINIERI BELLAGAMBI 7 O 2 4 2000  CODICE FISCALE 
CODICE FISCAL VUDNBA  L9J6SYPO DATI ANAGRAFICI RAINONE BELLAGRANDE 7 8 2 0 2 O 2 8   CODICE FISCALE 
CODICE FISCAL P AT 9L QZG NJB1 DATI ANAGRAFICI RAINUCCI BELLAMO 188O1906  CODICE FISCALE 
CODICE FISCAL  F6XYK5L9 AS RNV DATI ANAGRAFICI RAIOLA BELLAMORE 1365 1912  CODICE FISCALE 
CODICE FISCAL DCRE6POUHB1TZV Q DATI ANAGRAFICI RAJNA BELLANCA   48 O 63O0  CODICE FISCALE 
CODICE FISCAL XDQL OMI 1YHWZRB DATI ANAGRAFICI RALAMO BELLANIMA 01021900  CODICE FISCALE 
CODICE FISCAL 1 YCHF Z65BEPLOS DATI ANAGRAFICI RALLI BELLANTONIO 15 02 1906  CODICE FISCALE 
CODICE FISCAL FCO8UKRJXD TMP6E DATI ANAGRAFICI RAMALLO BELLARDELLO 0403 1987  CODICE FISCALE 
CODICE FISCAL IUB1R LCAV6KZE5X DATI ANAGRAFICI RAMBALDI BELLARDI 6 0 0 0 2015  CODICE FISCALE 
CODICE FISCAL VT695 AM C OSIFW DATI ANAGRAFICI RAMCIS BELLARIO 3 2 9 4 0 0 0 9   CODICE FISCALE 
CODICE FISCAL HU CTRJ65  S8ZLK DATI ANAGRAFICI RAMETTA BELLAROSA O84O1903  CODICE FISCALE 
CODICE FISCAL OH6SNBC 5Q TD J9 DATI ANAGRAFICI RAMORINI BELLATRECCIA 3666 1900  CODICE FISCALE 
CODICE FISCAL IMKBG VWDEU5F8 A DATI ANAGRAFICI RAMPICHINI BELLE 715  362O  4  CODICE FISCALE 
CODICE FISCAL X 1HQ AL OESC 9N DATI ANAGRAFICI RAMPINELLI BELLEI 22031954  CODICE FISCALE 
CODICE FISCAL UDQHVKJL5C TXOM  DATI ANAGRAFICI RAMPONI BELLELLI 24 08 1994  CODICE FISCALE 
CODICE FISCAL XVHSUF  N1Q59GZT DATI ANAGRAFICI RAMUNDO BELLENETTO 0910 1968  CODICE FISCALE 
CODICE FISCAL J 89HZI XECUWG R DATI ANAGRAFICI RANA BELLEZZA 1 5 9 2 2007  CODICE FISCALE 
CODICE FISCAL I OQHVLE NY CDT1 DATI ANAGRAFICI RANALLI BELLI 9 0 3 O 3 5 3 O   CODICE FISCALE 
CODICE FISCAL LM 9NSW  U8C XPB DATI ANAGRAFICI RANALLO BELLIBONI 37051904  CODICE FISCALE 
CODICE FISCAL VRS LAFTHYUCM J6 DATI ANAGRAFICI RANCONI BELLICI 7376 1911  CODICE FISCALE 
CODICE FISCAL QW  AISHZ6EY DXB DATI ANAGRAFICI RANDAZZO BELLIGERANTI   23687 5 O0   CODICE FISCALE 
CODICE FISCAL  ZMB 9S8HV1J N R DATI ANAGRAFICI RANDERPO BELLINI 17081973  CODICE FISCALE 
CODICE FISCAL CBVUF8 T5 QSODWN DATI ANAGRAFICI RANDESI BELLINO 14 04 1926  CODICE FISCALE 
CODICE FISCAL IKX1GQJYAHEF89 P DATI ANAGRAFICI RANDISI BELLIPANNI 1207 1916  CODICE FISCALE 
CODICE FISCAL GLDXMZJEHKB1OSY5 DATI ANAGRAFICI RANDO BELLISSIMO 5 9 0 6 2007  CODICE FISCALE 
CODICE FISCAL JNV8QFEOZMILPGB  DATI ANAGRAFICI RANDONE BELLO 8 O 6 O 5 9 6 4   CODICE FISCALE 
CODICE FISCAL N9O 1 UPX6 HC5VK DATI ANAGRAFICI RANELLI BELLOCCHIO 26461910  CODICE FISCALE 
CODICE FISCAL 1T  5QUHCO DYZ9  DATI ANAGRAFICI RANGHETTI BELLOFATTO 4815 1915  CODICE FISCALE 
CODICE FISCAL 1GLMIN VSPEZ F R DATI ANAGRAFICI RANGO BELLOME  420 59381   CODICE FISCALE 
CODICE FISCAL WX YT FID59B GJQ DATI ANAGRAFICI RANGONE BELLOMO 24071938  CODICE FISCALE 
CODICE FISCAL TMIXK NJHY OU E6 DATI ANAGRAFICI RANIOLI BELLONI 30 02 1947  CODICE FISCALE 
CODICE FISCAL U D ZB8 OFCQ9 V1 DATI ANAGRAFICI RANNO BELLUCIO 3010 1954  CODICE FISCALE 
CODICE FISCAL AD9 BZWHJ EX RCO DATI ANAGRAFICI RANOCCHIO BELLUSCI 0 9 4 5 2007  CODICE FISCALE 
CODICE FISCAL G SP9R6MEBIA5LN  DATI ANAGRAFICI RANSI BELLUTO 0 6 2 1 9 9 4 O   CODICE FISCALE 
CODICE FISCAL AUL5E9S WTOC1Y G DATI ANAGRAFICI RANSOME BELPANNO 95441903  CODICE FISCALE 
CODICE FISCAL DLM 89 O BHSAZFP DATI ANAGRAFICI RANZETTI BELSITI 1O90 1904  CODICE FISCALE 
CODICE FISCAL    DTYXZEHFI9B   DATI ANAGRAFICI RANZI BELTRAMELLO  8  65194 02  CODICE FISCALE 
CODICE FISCAL FAL EXVZC DQSYH5 DATI ANAGRAFICI RANZOLI BELVISO 26031936  CODICE FISCALE 
CODICE FISCAL   DGA9 WTKFNOV J DATI ANAGRAFICI RAPACCIOLI BELVISOTTI 08 05 1922  CODICE FISCALE 
CODICE FISCAL X9AUIYT  LN8MOSE DATI ANAGRAFICI RAPAGNETTA BELZOPPI 2904 1976  CODICE FISCALE 
CODICE FISCAL ZKNPGE1Q65OVYH   DATI ANAGRAFICI RAPOLLA BEMANELLA O 2 3 4 2014  CODICE FISCALE 
CODICE FISCAL  FYDOXL 5BKP UJI DATI ANAGRAFICI RAPOSA BENAMATO 4 5 1 7 4 5 1 8   CODICE FISCALE 
CODICE FISCAL TYV KHGE9ZSM ALC DATI ANAGRAFICI RAPPA BENANNO 46O01908  CODICE FISCALE 
CODICE FISCAL 1CWKT6AQVGNSIJ M DATI ANAGRAFICI RAPPOBO BENCI 4948 1917  CODICE FISCALE 
CODICE FISCAL DYLS C 8PAVR JTI DATI ANAGRAFICI RAPPOLO BENCIVENGA 72 590613O O8  CODICE FISCALE 
CODICE FISCAL SP  DQ1KM8WRH NF DATI ANAGRAFICI RAPUZZI BENCIVENGO 19011934  CODICE FISCALE 
CODICE FISCAL G K9C WAN65TDE B DATI ANAGRAFICI RASCHI BENCIVENNI 15 05 1954  CODICE FISCALE 
CODICE FISCAL  NIYCOD EALKG6WH DATI ANAGRAFICI RASETTI BENCONIO 1301 1945  CODICE FISCALE 
CODICE FISCAL 1MQSX RB ETLU9NG DATI ANAGRAFICI RASO BENCRISCIUTO O 8 6 8 2016  CODICE FISCALE 
CODICE FISCAL IT 6RBME95 V WC  DATI ANAGRAFICI RASSAESSIO BENDI 9 9 5 3 8 9 5 O   CODICE FISCALE 
CODICE FISCAL  T95B1 L A6E U W DATI ANAGRAFICI RASSELLAMA BENE 81121915  CODICE FISCALE 
CODICE FISCAL 1PAELDO9BH ZI8JX DATI ANAGRAFICI RASTELLI BENEDETTI 66O8 1902  CODICE FISCALE 
CODICE FISCAL UDL  EX SKRHO6 G DATI ANAGRAFICI RATTI BENEDETTO   6 3718  40O  CODICE FISCALE 
CODICE FISCAL KFLRSZ1TQ  IEWH5 DATI ANAGRAFICI RATTO BENEDICENTI 10051961  CODICE FISCALE 
CODICE FISCAL C RSNF 81LW Z69D DATI ANAGRAFICI RAVAGLIA BENEMERITO 15 04 1960  CODICE FISCALE 
CODICE FISCAL  G V EJQTC MDX9B DATI ANAGRAFICI RAVANELLO BENENATI 0811 1973  CODICE FISCALE 
CODICE FISCAL HF RWB8YGUIJPEQX DATI ANAGRAFICI RAVASCHIERI BENENETTO 0 2 9 2 2012  CODICE FISCALE 
CODICE FISCAL X9TH D8FEB L  C  DATI ANAGRAFICI RAVAZZA BENESSERE 5 0 1 5 7 4 9 O   CODICE FISCALE 
CODICE FISCAL IZ  K OA5HJTXYPS DATI ANAGRAFICI RAVENNA BENETTO 05O11908  CODICE FISCALE 
CODICE FISCAL E6OCH NGAV W1 XL DATI ANAGRAFICI RAVERA BENEVOLI 56O3 1919  CODICE FISCALE 
CODICE FISCAL UNIOBW6   Q H18G DATI ANAGRAFICI RAVI BENFANTE  8 5  O1 64  CODICE FISCALE 
CODICE FISCAL 85ICMJKTN UW DPZ DATI ANAGRAFICI RAVIGLIA BENGA 29091920  CODICE FISCALE 
CODICE FISCAL TXRMI5FBW UEH  S DATI ANAGRAFICI RAVIOLO BENIAMINO 14 07 1949  CODICE FISCALE 
CODICE FISCAL S8   K6N CZYGQTI DATI ANAGRAFICI RAVIZZA BENIGNI 0701 1918  CODICE FISCALE 
CODICE FISCAL O1A8YX9D SUG MJ  DATI ANAGRAFICI RAVIZZONI BENIGNO 9 O 0 4 2013  CODICE FISCALE 
CODICE FISCAL  5YFJ1I CP  9TG6 DATI ANAGRAFICI RAZZA BENINATE 7 O 4 O 1 9 5 O   CODICE FISCALE 
CODICE FISCAL 6IZ TAB1V EGDOQS DATI ANAGRAFICI RAZZARA BENINATI 77611903  CODICE FISCALE 
CODICE FISCAL K 5GIJ61 UN HM9A DATI ANAGRAFICI RAZZETTA BENINATO O371 1908  CODICE FISCALE 
CODICE FISCAL O YEA GK 9M QNT8 DATI ANAGRAFICI RAZZETTO BENIVOGLIO 8O 4 O 7136  CODICE FISCALE 
CODICE FISCAL K E V8SPWDBX9 HI DATI ANAGRAFICI RAZZO BENLACQUA 21071935  CODICE FISCALE 
CODICE FISCAL    C  LRO1XJABP6 DATI ANAGRAFICI RAZZOLINI BENNANO 22 02 1973  CODICE FISCALE 
CODICE FISCAL VDJ  SF 58GQRCA6 DATI ANAGRAFICI RE BENNINATO 1510 1949  CODICE FISCALE 
CODICE FISCAL  HS69 MEKB 5NXPT DATI ANAGRAFICI REALI BENTIVENGA 0 O 1 2 2006  CODICE FISCALE 
CODICE FISCAL HNROKEZ8PYSQA M  DATI ANAGRAFICI REALMATO BENTROVATI O 1 O 7 O O 4 O   CODICE FISCALE 
CODICE FISCAL 5 X9Y NMWOGT1 ID DATI ANAGRAFICI RE’ANTONINO BENVEDUTO 10121905  CODICE FISCALE 
CODICE FISCAL M5CD T 1U JWVOSP DATI ANAGRAFICI REAO BENVENETTO O956 1915  CODICE FISCALE 
CODICE FISCAL UXOVIZ 58M T GSP DATI ANAGRAFICI RECCHI BENVENUTO  96481 3O O   CODICE FISCALE 
CODICE FISCAL BM  ZAJ UXSY8T6D DATI ANAGRAFICI RECCHINI BENVOGLIENTE 24101919  CODICE FISCALE 
CODICE FISCAL JCEBZ8N AW STPF  DATI ANAGRAFICI RECCHIONE BENVONETO 09 07 1913  CODICE FISCALE 
CODICE FISCAL EFCQX  L 1PMK596 DATI ANAGRAFICI RECHINSO BEOLCO 3011 1968  CODICE FISCALE 
CODICE FISCAL LJEBY6SQCRKZH8TI DATI ANAGRAFICI REDI BEORDELETTO 6 2 2 5 2019  CODICE FISCALE 
CODICE FISCAL OSCMAHPF T 5VXD  DATI ANAGRAFICI REDINITI BERARDI 0 3 7 7 O 1 2 5   CODICE FISCALE 
CODICE FISCAL VAMUW DSH6TNL 8I DATI ANAGRAFICI REDLMENTO BERARDINI 44761904  CODICE FISCALE 
CODICE FISCAL 6UW OCBVEXFH ZGY DATI ANAGRAFICI REDNBALDA BERARDO 9540 1905  CODICE FISCALE 
CODICE FISCAL PCGFYV9SDBH8UW N DATI ANAGRAFICI REESSECCA BERARDOZZI 25 O9 187 0  CODICE FISCALE 
CODICE FISCAL T8DRF  1P5XAL EI DATI ANAGRAFICI REGATTIERI BERCUTI 16081952  CODICE FISCALE 
CODICE FISCAL A VJ K5D NQOECI8 DATI ANAGRAFICI REGAZZI BERGAMASCO 22 02 1901  CODICE FISCALE 
CODICE FISCAL WX6RBE  TP VI AC DATI ANAGRAFICI REGAZZINI BERGANTINI 2704 1908  CODICE FISCALE 
CODICE FISCAL Y O CJATD RP HI  DATI ANAGRAFICI REGGIO BERICO 0 7 1 9 2007  CODICE FISCALE 
CODICE FISCAL ICEZTNPS B1 Q R  DATI ANAGRAFICI REGINA BERINI 6 O 7 0 8 9 4 0   CODICE FISCALE 
CODICE FISCAL 51IQDL9GK MJ 6 E DATI ANAGRAFICI REGOLO BERINO 3OOO1905  CODICE FISCALE 
CODICE FISCAL L  Q8SR5I9 OV 1J DATI ANAGRAFICI REIBANTOR BERLINGIERI 0480 1902  CODICE FISCALE 
CODICE FISCAL XYVI9NLP M  H Q8 DATI ANAGRAFICI REINA BERLINI 739   1 0O5O2  CODICE FISCALE 
CODICE FISCAL P MLOYIJF5 GWX9  DATI ANAGRAFICI REITANO BERLUSCONI 30021945  CODICE FISCALE 
CODICE FISCAL 8IQ1BX RL 6VMWDU DATI ANAGRAFICI RELELLO BERMANNO 06 07 1921  CODICE FISCALE 
CODICE FISCAL 9JKRMVW6S5 PEOL  DATI ANAGRAFICI RELIGIONE BERMBACA 2411 1932  CODICE FISCALE 
CODICE FISCAL B EA9R  V5TUYJ W DATI ANAGRAFICI REMATORE BERNARDO 0 0 6 1 2017  CODICE FISCALE 
CODICE FISCAL K SE6ZR8T1 AUQCG DATI ANAGRAFICI RENA BERNARDONE 6 5 O O 8 0 6 O   CODICE FISCALE 
CODICE FISCAL CO DQVF8R  XL PM DATI ANAGRAFICI RENDA BERNASCONI 53O61905  CODICE FISCALE 
CODICE FISCAL O  EHK5FTCA9GXBP DATI ANAGRAFICI RENDINA BERNISTI 0020 1911  CODICE FISCALE 
CODICE FISCAL 8SX5GP9TE1FO  DV DATI ANAGRAFICI RENGIOLI BERNO 03O 9  456   CODICE FISCALE 
CODICE FISCAL YGBN69DSRK    1X DATI ANAGRAFICI RENISERIA BERNOCCHI 10021977  CODICE FISCALE 
CODICE FISCAL TMDU A9PN  LGX8E DATI ANAGRAFICI RENNA BERRETTA 30 03 1983  CODICE FISCALE 
CODICE FISCAL VTA K8GE HONX JP DATI ANAGRAFICI RENZI BERRETTARI 2210 1910  CODICE FISCALE 
CODICE FISCAL 5 G6 DXQ 8HT KJC DATI ANAGRAFICI REPETO BERRINI 8 O 3 2 2016  CODICE FISCALE 
CODICE FISCAL E H5LQU8X G P 6O DATI ANAGRAFICI REPETTI BERRUTO O 0 6 6 O 6 0 4   CODICE FISCALE 
CODICE FISCAL KMYQB H NJLRI56  DATI ANAGRAFICI REPULO BERSARDI O0561902  CODICE FISCALE 
CODICE FISCAL  6VO9NWS GA HR5Y DATI ANAGRAFICI RERITTE BERTACCO 7427 1901  CODICE FISCALE 
CODICE FISCAL KWQ1N9TXPF5O  H  DATI ANAGRAFICI RESCELI BERTAGNIN 1268O 49 7 03  CODICE FISCALE 
CODICE FISCAL PCHA D8LZYB1  KM DATI ANAGRAFICI RESCELIO BERTANZA 07011906  CODICE FISCALE 
CODICE FISCAL RAZK5DHNFEU9 T V DATI ANAGRAFICI RESEGOTTI BERTAZINI 15 06 1941  CODICE FISCALE 
CODICE FISCAL  UOS5JZY9 PGCAVM DATI ANAGRAFICI RESELINO BERTELLI 2402 1981  CODICE FISCALE 
CODICE FISCAL A1GU NTZD 59 EVM DATI ANAGRAFICI RESENELO BERTELLO 1 7 0 9 2013  CODICE FISCALE 
CODICE FISCAL ZBXDTAWHOIM1KPE  DATI ANAGRAFICI RESTAINO BERTI 2 9 1 9 2 9 7 0   CODICE FISCALE 
CODICE FISCAL 5 TC MO KJZVGY6E DATI ANAGRAFICI RESTIVO BERTINAGLIA 053O1917  CODICE FISCALE 
CODICE FISCAL AZ U8V5YP NQ1  F DATI ANAGRAFICI RETTORE BERTINARI 1777 1905  CODICE FISCALE 
CODICE FISCAL  RPC  H5UOZEYA9B DATI ANAGRAFICI REVERE BERTINI 13O 2O59   4   CODICE FISCALE 
CODICE FISCAL  SWJ XC 5 Q9KAFR DATI ANAGRAFICI REZNO BERTO 16021919  CODICE FISCALE 
CODICE FISCAL OZMD9KLFR 5Y W Q DATI ANAGRAFICI REZZA BERTOCCO 19 02 1932  CODICE FISCALE 
CODICE FISCAL XBU CVYEG8HIM9D  DATI ANAGRAFICI REZZO BERTOLANI 1408 1913  CODICE FISCALE 
CODICE FISCAL RANGYWFOV 9JS1 U DATI ANAGRAFICI REZZUTO BERTOLATTO 8 3 3 8 2000  CODICE FISCALE 
CODICE FISCAL E1X UPFTHBS9C DI DATI ANAGRAFICI RIBALDI BERTOLI 7 0 3 O 4 7 O 8   CODICE FISCALE 
CODICE FISCAL 1S6BKC9V8ZY XP5W DATI ANAGRAFICI RIBALDO BERTOLINI 06O81913  CODICE FISCALE 
CODICE FISCAL 5P 9FTEMU6KNAIBX DATI ANAGRAFICI RIBANDO BERTOLINO 1571 1909  CODICE FISCALE 
CODICE FISCAL ZPB8   TSEYKDQFW DATI ANAGRAFICI RIBANITO BERTOLOTTI 1 4 6O9 7320  CODICE FISCALE 
CODICE FISCAL  DBPHXZWJVR 6 SM DATI ANAGRAFICI RIBAUDO BERTONI 16041975  CODICE FISCALE 
CODICE FISCAL J8ZWVH M GE KU6  DATI ANAGRAFICI RIBERA BERTOZZI 03 08 1941  CODICE FISCALE 
CODICE FISCAL XO VU 5PQ8AJ  KY DATI ANAGRAFICI RIBONI BERTUCCI 1405 1935  CODICE FISCALE 
CODICE FISCAL M OGY  VLK61XA E DATI ANAGRAFICI RICA BERTUCCO 5 3 0 8 2005  CODICE FISCALE 
CODICE FISCAL  RWLE Q5TA16N KU DATI ANAGRAFICI RICARDO BERTUCI O 6 O 5 4 3 0 8   CODICE FISCALE 
CODICE FISCAL V ZT HUBGEDQOS9J DATI ANAGRAFICI RICASOLI BERTUCIO 8O471903  CODICE FISCALE 
CODICE FISCAL JSXTPU I AE8 KF  DATI ANAGRAFICI RICATTA BERZOLARI O712 1911  CODICE FISCALE 
CODICE FISCAL GWF69NX ZI5DSKHL DATI ANAGRAFICI RICCA BESAZZA 13  2O087O     CODICE FISCALE 
CODICE FISCAL L  XMUWY1I B QAK DATI ANAGRAFICI RICCARDI BESCARDE 01111959  CODICE FISCALE 
CODICE FISCAL JQP69GIWV M1 OKE DATI ANAGRAFICI RICCHETTI BESESTI 12 08 1975  CODICE FISCALE 
CODICE FISCAL JBSRDYL  M 9P8NF DATI ANAGRAFICI RICCHIUTI BESSASSA 2108 1991  CODICE FISCALE 
CODICE FISCAL B DU MEWA 5Q1FYC DATI ANAGRAFICI RICCHIUTO BESSI 8 0 3 7 2000  CODICE FISCALE 
CODICE FISCAL A OF8PGK W TCSIB DATI ANAGRAFICI RICCI BESSIM 5 9 1 1 1 9 9 2   CODICE FISCALE 
CODICE FISCAL MO9BCFW  ENSK V  DATI ANAGRAFICI RICCIARDI BESSO 7OO61913  CODICE FISCALE 
CODICE FISCAL 8  PEIX6 G5B W1T DATI ANAGRAFICI RICCIERI BETA 80O5 1911  CODICE FISCALE 
CODICE FISCAL Z9CPQ AS6E1XYBVI DATI ANAGRAFICI RICCIO BETASSI  514673  90  CODICE FISCALE 
CODICE FISCAL PIWQH G 1X6VBU A DATI ANAGRAFICI RICCIONI BETOCCHI 02091942  CODICE FISCALE 
CODICE FISCAL K6BV9WT PFHDXU Y DATI ANAGRAFICI RICCITELLI BETTA 01 05 1922  CODICE FISCALE 
CODICE FISCAL P51G8V HSCAZE 6  DATI ANAGRAFICI RICCIUTO BETTACI 0502 1978  CODICE FISCALE 
CODICE FISCAL CPKIYUOR9DSLZJ   DATI ANAGRAFICI RICCO BETTI 5 0 3 7 2019  CODICE FISCALE 
CODICE FISCAL  B9EQFTSA PCWH1N DATI ANAGRAFICI RICCOBELLI BETTINI 4 4 0 9 1 O 8 9   CODICE FISCALE 
CODICE FISCAL DK CXBE TYS 1IQN DATI ANAGRAFICI RICCOBONO BETTO OO041906  CODICE FISCALE 
CODICE FISCAL  8TNSOYKF JQZAB5 DATI ANAGRAFICI RICCOMAMI BETTOLA 4O09 1914  CODICE FISCALE 
CODICE FISCAL 5WQ OJZ9RNGFV TK DATI ANAGRAFICI RICERESTE BETTONICA 83O0 2491 6  CODICE FISCALE 
CODICE FISCAL G8C9M X5LP6T1J Z DATI ANAGRAFICI RICHICHI BETUSSI 22051913  CODICE FISCALE 
CODICE FISCAL 1JC 6G SY D5BU R DATI ANAGRAFICI RICHIOUI BETUZZI 17 11 1948  CODICE FISCALE 
CODICE FISCAL P RXF CDUSM1LK E DATI ANAGRAFICI RICIA BEVILACQUA 2501 1994  CODICE FISCALE 
CODICE FISCAL 5VP MKL9X8DR B C DATI ANAGRAFICI RICIARDE BEVINETTO 8 0 3 O 2004  CODICE FISCALE 
CODICE FISCAL  ADVXLIK 1P9 HNM DATI ANAGRAFICI RICIUTO BEVIVINO 5 6 2 8 8 4 1 3   CODICE FISCALE 
CODICE FISCAL 1  AP  Q5GUMC869 DATI ANAGRAFICI RICO BEZAZZA 77831900  CODICE FISCALE 
CODICE FISCAL 15R  AXFG6IVJML8 DATI ANAGRAFICI RICOLO BEZZA 0OO2 1911  CODICE FISCALE 
CODICE FISCAL T DVPXI 1UOYL 5J DATI ANAGRAFICI RICORDATI BEZZANTI 7  2O9  48O5  CODICE FISCALE 
CODICE FISCAL ISEHXZODPJT 1YNL DATI ANAGRAFICI RICOTTA BEZZI 24101998  CODICE FISCALE 
CODICE FISCAL IA 5KOU E8NLCD1W DATI ANAGRAFICI RICOTTELLI BIABBA 23 03 1963  CODICE FISCALE 
CODICE FISCAL MHSOX5Z BYU1 8CV DATI ANAGRAFICI RICOTTELLO BIADAROLI 2507 1998  CODICE FISCALE 
CODICE FISCAL 6 OXDBE8I1 S RTU DATI ANAGRAFICI RICOTTI BIAGINE 1 O O 1 2016  CODICE FISCALE 
CODICE FISCAL 8FLEHDYWU9 IZ5   DATI ANAGRAFICI RICOTTO BIAGIO 4 5 6 5 8 9 1 3   CODICE FISCALE 
CODICE FISCAL JH 19Y I OVW R5  DATI ANAGRAFICI RIDARELLI BIAGLIA 50221916  CODICE FISCALE 
CODICE FISCAL  OT WUKHIXF1 P Y DATI ANAGRAFICI RIDDELL BIAGO 019O 1906  CODICE FISCALE 
CODICE FISCAL S  OXGNWIRCQKHBD DATI ANAGRAFICI RIDOLFI BIANCAMANO 09  451O  2  CODICE FISCALE 
CODICE FISCAL  LAFD95RBWG O MK DATI ANAGRAFICI RIETTO BIANCHI 07091947  CODICE FISCALE 
CODICE FISCAL UBDRA N9H1MQOIGE DATI ANAGRAFICI RIFICI BIANCHINI 11 06 1970  CODICE FISCALE 
CODICE FISCAL 5TC8 P  GEAWYM D DATI ANAGRAFICI RIGA BIANCHINO 2601 1943  CODICE FISCALE 
CODICE FISCAL S1BZYT NXJI 6E9Q DATI ANAGRAFICI RIGANI BIANCO 7 O O 1 2019  CODICE FISCALE 
CODICE FISCAL VQAKC 8JYD19Z5 M DATI ANAGRAFICI RIGANTE BIANCOROSSO 8 3 5 3 6 0 9 4   CODICE FISCALE 
CODICE FISCAL   1IDZJOWHBM8  R DATI ANAGRAFICI RIGGI BIANDOLILLO 194O1919  CODICE FISCALE 
CODICE FISCAL ZAJBDP  E1XUTMQG DATI ANAGRAFICI RIGGO BIASI 6428 1913  CODICE FISCALE 
CODICE FISCAL R IN1AUSD5QXJ GE DATI ANAGRAFICI RIGHI BIASUTTI   894 7103   CODICE FISCALE 
CODICE FISCAL Z6D MUIVYTCJ9PAO DATI ANAGRAFICI RIGIATO BIAVA 23041992  CODICE FISCALE 
CODICE FISCAL ZGC 1OWKL 6VHXD  DATI ANAGRAFICI RIGILLO BIAVANNA 10 07 1950  CODICE FISCALE 
CODICE FISCAL C5I D9 AQWNVK HX DATI ANAGRAFICI RIGNANESE BIAVASCHI 1203 1926  CODICE FISCALE 
CODICE FISCAL VHMET XBGFOK I58 DATI ANAGRAFICI RIGO BIAVATI 8 1 0 2 2008  CODICE FISCALE 
CODICE FISCAL KVFPM9E8NLGR  AZ DATI ANAGRAFICI RIGOBON BIBATTINI 9 5 9 9 O 9 7 0   CODICE FISCALE 
CODICE FISCAL C 5JKE  LIWOBGTM DATI ANAGRAFICI RIGOGOLO BICANO 92281909  CODICE FISCALE 
CODICE FISCAL WM8IDNHOK JF5CZA DATI ANAGRAFICI RIGOLI BICCHERI 0321 1911  CODICE FISCALE 
CODICE FISCAL T KZ 5YQ F  91SX DATI ANAGRAFICI RIGOTTI BICCHETTO   O 5 34 O01  CODICE FISCALE 
CODICE FISCAL Z WEG VX5L FK AB DATI ANAGRAFICI RILETTA BICCHIERAI 22051962  CODICE FISCALE 
CODICE FISCAL 6 YARTSHOBGQV8 M DATI ANAGRAFICI RILETTO BICO 17 03 1932  CODICE FISCALE 
CODICE FISCAL  1J EROV KINQPUH DATI ANAGRAFICI RILLERI BICOCCHI 0706 1912  CODICE FISCALE 
CODICE FISCAL N 5WGYR C9SLH68M DATI ANAGRAFICI RIMI BIDETTO 2 6 O 2 2004  CODICE FISCALE 
CODICE FISCAL C E5R1ZGKW9APSVF DATI ANAGRAFICI RIMMISA BIDONI 0 2 0 8 4 8 8 7   CODICE FISCALE 
CODICE FISCAL LYOH98NJQE1BPGIX DATI ANAGRAFICI RIMONDINI BIELLI 5O481916  CODICE FISCALE 
CODICE FISCAL LIXANR  ECK6VPZJ DATI ANAGRAFICI RIMPOLA BIFANO 5442 1906  CODICE FISCALE 
