CODICE FISCALE  YLA  TXJ9 5WSPMN ,  DATI ANAGRAFICI ABATE ABACO  POK <START:DOB> 19 06 1978 <END> F ABANO TERME  AG CODICE FISCALE 
ICE FISCALE  6 NPEV58R LU9HI , ATI ANAGRAFICI LEOLINO GABRIELA <START:DOB> 9 5 2 3 2019 <END> F CASTEL SANT'ELIA  P D CODICE FISCALE 
ICE FISCALE UPAF ZOD 1NY WEQ , ATI ANAGRAFICI LEONARDI GAUDENZINA <START:DOB> O 7 0 7 O 5 3 9  <END> M CASTEL VISCARDO  P A CODICE FISCALE 
ICE FISCALE BRKSQWUGL9EC 8P  , ATI ANAGRAFICI LEONARDO GENIA <START:DOB> 20461919 <END> F CASTEL VITTORIO  P R CODICE FISCALE 
ICE FISCALE PIDQZGB  UWCRL S , ATI ANAGRAFICI LEONCAVALLO GERARDA <START:DOB> OO93 1912 <END> M CASTEL VOLTURNO  P V CODICE FISCALE 
ICE FISCALE J XUISPG TN 5MY  , ATI ANAGRAFICI LEONCILLO GESUINA <START:DOB> 0 7O368  4O   <END> M CASTELBALDO  P G CODICE FISCALE 
ICE FISCALE KI6UNES PYW8 L5H , ATI ANAGRAFICI LEONE GIANNANGELA <START:DOB> 27061957 <END> M CASTELBELFORTE  P U CODICE FISCALE 
ICE FISCALE OCE  P Q8BIYWSK9 , ATI ANAGRAFICI LEONETTE GABRIELINA <START:DOB> 06 02 1922 <END> M CASTELBELLINO  P E CODICE FISCALE 
ICE FISCALE  B   HUJNKV9X8WR , ATI ANAGRAFICI LEONI GAUDINA <START:DOB> 2702 1963 <END> F CASTELBELLO-CIARDES  P C CODICE FISCALE 
ICE FISCALE  5AOIENY G8UQPW1 , ATI ANAGRAFICI LEONILLO GENINA <START:DOB> 6 O 3 3 2000 <END> F CASTELBIANCO  P I CODICE FISCALE 
ICE FISCALE L9Z DQTNM61 RYVF , ATI ANAGRAFICI LEONTINO GERARDINA <START:DOB> 1 O 1 O 1 O 3 8  <END> F CASTELBOTTACCIO  P T CODICE FISCALE 
ICE FISCALE 9J8RFMS B OCUTEW , ATI ANAGRAFICI LEOPANTO GESUMINA <START:DOB> 82631907 <END> M CASTELBUONO  P N CODICE FISCALE 
ICE FISCALE   IJM8LNAFW XEC  , ATI ANAGRAFICI LEOPARDI GIANNANTONIA <START:DOB> 498O 1906 <END> M CASTELCIVITA  P Z CODICE FISCALE 
ICE FISCALE GNYAZ 9RDKHQBT X , ATI ANAGRAFICI LEOPOLODE GABRIELLA <START:DOB>  7 05O3642 9  <END> M CASTELCOVATI  P O CODICE FISCALE 
ICE FISCALE DPQMB W6LK  JXFY , ATI ANAGRAFICI LEOPORE GAUDIOSA <START:DOB> 30111912 <END> M CASTELCUCCO  R G CODICE FISCALE 
ICE FISCALE ZH8EJRV OG Y9N K , ATI ANAGRAFICI LEOPORINI GENISIA <START:DOB> 13 02 1931 <END> F CASTELDACCIA  R A CODICE FISCALE 
ICE FISCALE 5RKT8YIFM PC6  B , ATI ANAGRAFICI LEORCE GERBINA <START:DOB> 2301 1973 <END> M CASTELDELCI  R C CODICE FISCALE 
ICE FISCALE XBC  VYJUO5 SE69 , ATI ANAGRAFICI LEORDINO GETTULIA <START:DOB> 1 8 O 1 2011 <END> M CASTELDELFINO  R E CODICE FISCALE 
ICE FISCALE BE6VY J AXICLP89 , ATI ANAGRAFICI LEORE GIANNELLA <START:DOB> 7 0 O O 4 O 9 9  <END> F CASTELDIDONE  R I CODICE FISCALE 
ICE FISCALE YGIHLKS9BW5FC1 U , ATI ANAGRAFICI LEORIE GAETANA <START:DOB> 6O891904 <END> M CASTELFIDARDO  R N CODICE FISCALE 
ICE FISCALE XQJOM 6LYSNKZGB5 , ATI ANAGRAFICI LEORINO GAVINA <START:DOB> 6236 1918 <END> F CASTELFIORENTINO  R M CODICE FISCALE 
ICE FISCALE Q6IK  S FWDVMPY8 , ATI ANAGRAFICI LEPANTO GENNAIA <START:DOB>  8563  41OO  <END> M CASTELFONDO  R O CODICE FISCALE 
ICE FISCALE  WCPJ  AO G6LSUB , ATI ANAGRAFICI LEPIDO GERINA <START:DOB> 11021995 <END> F CASTELFORTE  S A CODICE FISCALE 
ICE FISCALE 56 HO Z VWP1 TIA , ATI ANAGRAFICI LEPPORE GETULIA <START:DOB> 11 02 1931 <END> M CASTELFRANCI  S S CODICE FISCALE 
ICE FISCALE M9YCLB VOX  AGQ  , ATI ANAGRAFICI LEPPORI GIANNETTA <START:DOB> 1309 1999 <END> F CASTELFRANCO PIANDISCÒ  S V CODICE FISCALE 
ICE FISCALE SIG CR8HOZ VFM U , ATI ANAGRAFICI LEPRI GAETANELLA <START:DOB> O 2 7 1 2018 <END> F CASTELFRANCO DI SOTTO  S I CODICE FISCALE 
ICE FISCALE 6 UBDCVOQ E MITL , ATI ANAGRAFICI LERDA GAVINUCCIA <START:DOB> 6 3 2 O 0 4 1 5  <END> M CASTELFRANCO EMILIA  S R CODICE FISCALE 
ICE FISCALE  W  ESLPN G1HKT5 , ATI ANAGRAFICI LEREGA GENNARA <START:DOB> O2501914 <END> F CASTELFRANCO IN MISCANO  S O CODICE FISCALE 
ICE FISCALE ET IVUJ1MAW KBRQ , ATI ANAGRAFICI LERO GERLANDA <START:DOB> O289 1902 <END> M CASTELFRANCO VENETO  T A CODICE FISCALE 
ICE FISCALE V1TH9 DWUI5  NQY , ATI ANAGRAFICI LEROCCO GHERARDA <START:DOB> O69 2O08 5 3  <END> F CASTELGERUNDO  T E CODICE FISCALE 
ICE FISCALE Z5CO D1TQ8HSJNUG , ATI ANAGRAFICI LEROI GIANNINA <START:DOB> 07061931 <END> F CASTELGOMBERTO  T R CODICE FISCALE 
ICE FISCALE HJ  F9OLIWCYSXA  , ATI ANAGRAFICI LERTORA GAETANINA <START:DOB> 28 03 1922 <END> F CASTELGRANDE  T P CODICE FISCALE 
ICE FISCALE G5ZO861  TQCHJ9F , ATI ANAGRAFICI LERVERONE GEA <START:DOB> 0503 1946 <END> M CASTELGUGLIELMO  T N CODICE FISCALE 
ICE FISCALE GJV8 6BLS9 XHDIR , ATI ANAGRAFICI LESCARE GENNARINA <START:DOB> 9 O 6 8 2005 <END> F CASTELGUIDONE  T V CODICE FISCALE 
ICE FISCALE  O9A1FVK ZPBWRS  , ATI ANAGRAFICI LESSI GERMANA <START:DOB> 4 4 4 7 9 2 4 4  <END> M CASTELL'ALFERO  T S CODICE FISCALE 
ICE FISCALE ZFU8XCV5MSBTRE6  , ATI ANAGRAFICI LESSIDIO GHINA <START:DOB> 42251901 <END> F CASTELL'ARQUATO  T O CODICE FISCALE 
ICE FISCALE Z OUJTFR 6QM SL5 , ATI ANAGRAFICI LESTER GIANNICO <START:DOB> 15OO 1919 <END> F CASTELL'AZZARA  U D CODICE FISCALE 
ICE FISCALE  PYGOTUBJZ61WI   , ATI ANAGRAFICI LESTORA GAIA <START:DOB> 763O9  4180   <END> F CASTELL'UMBERTO  V A CODICE FISCALE 
ICE FISCALE A TH1VUIKN F5P X , ATI ANAGRAFICI LETO GELASIA <START:DOB> 09011941 <END> F CASTELLABATE  V E CODICE FISCALE 
ICE FISCALE T   VWODCJHMSLFI , ATI ANAGRAFICI LETTERIELLO GENOEFFA <START:DOB> 21 08 1907 <END> F CASTELLAFIUME  V B CODICE FISCALE 
ICE FISCALE EWPQXYMFRJTHC S9 , ATI ANAGRAFICI LETTIERI GERMANIA <START:DOB> 1210 1930 <END> M CASTELLALTO  V C CODICE FISCALE 
ICE FISCALE S8 C HAL GMBD9F  , ATI ANAGRAFICI LETTIERO GHITA <START:DOB> 2 0 3 4 2013 <END> M CASTELLAMMARE DEL GOLFO  V R CODICE FISCALE 
ICE FISCALE U P5 SO LCB61T9D , ATI ANAGRAFICI LETTO GIANNOZZA <START:DOB> 7 4 6 0 3 O 3 7  <END> M CASTELLAMMARE DI STABIA  V V CODICE FISCALE 
ICE FISCALE SLI91G X6J YK ZP , ATI ANAGRAFICI LEVANTE GALATEA <START:DOB> 41OO1906 <END> F CASTELLAMONTE  V I CODICE FISCALE 
ICE FISCALE T1EOGK VPCU5D XY , ATI ANAGRAFICI LEVANTINI GELINDA <START:DOB> 086O 1907 <END> F CASTELLANA GROTTE  V T CODICE FISCALE 
ICE FISCALE  N COB1MPQU HL 9 , ATI ANAGRAFICI LEVATI GENOVA <START:DOB> 18 43 5O92 O <END> M CASTELLANA SICULA  A G CODICE FISCALE 
ICE FISCALE PRUOHDGXI WBTJ91 , ATI ANAGRAFICI LEVERONI GERMINAL <START:DOB> 17061986 <END> F CASTELLANETA  A L CODICE FISCALE 
ICE FISCALE D PUY KSA69NH 8Q , ATI ANAGRAFICI LEZZI GIACINTA <START:DOB> 05 02 1919 <END> M CASTELLANIA  A N CODICE FISCALE 
ICE FISCALE V   DPWGIQMC 5KB , ATI ANAGRAFICI LI CASTRI GIANPAOLA <START:DOB> 2402 1995 <END> F CASTELLANZA  A O CODICE FISCALE 
ICE FISCALE A1FT6ENVSBI98O C , ATI ANAGRAFICI LI GOTTI GALDINA <START:DOB> 4 O 3 3 2016 <END> M CASTELLAR GUIDOBONO  A R CODICE FISCALE 
ICE FISCALE NAPX GJ WZYB E95 , ATI ANAGRAFICI LI PANI GELMA <START:DOB> O O 9 7 7 8 7 7  <END> F CASTELLARANO  A P CODICE FISCALE 
ICE FISCALE 9A SZB  1WIHJTXO , ATI ANAGRAFICI LI ROCHI GENOVEFFA <START:DOB> 801O1918 <END> M CASTELLARO  A T CODICE FISCALE 
ICE FISCALE Q RUX9SHK8JG VFW , ATI ANAGRAFICI LI SACCHI GERMINALINA <START:DOB> 528O 1906 <END> F CASTELLAZZO BORMIDA  A V CODICE FISCALE 
ICE FISCALE MBA6KZSOPW 1X  U , ATI ANAGRAFICI LI SFERI GIACOBBA <START:DOB> 5O38 7 096 4 <END> F CASTELLAZZO NOVARESE  B A CODICE FISCALE 
ICE FISCALE  KWR1 6CZ8IAM9JV , ATI ANAGRAFICI LIBERATA GIANPIERA <START:DOB> 25021951 <END> F CASTELLEONE  B T CODICE FISCALE 
ICE FISCALE  9MEVNC SI OWT Q , ATI ANAGRAFICI LIBERATE GALEANA <START:DOB> 03 05 1924 <END> F CASTELLEONE DI SUASA  B L CODICE FISCALE 
ICE FISCALE EC HTAGSRXPBD  V , ATI ANAGRAFICI LIBERATORE GELMINA <START:DOB> 1505 1999 <END> M CASTELLERO  B N CODICE FISCALE 
ICE FISCALE WCHKMQ8F OJU5ZXR , ATI ANAGRAFICI LIBERATORI GENOVINA <START:DOB> 1 4 9 4 2006 <END> M CASTELLETTO CERVO  B G CODICE FISCALE 
ICE FISCALE 6  NVRXQ 9Z5A1DU , ATI ANAGRAFICI LIBERTO GEROLAMA <START:DOB> 8 3 6 O 8 6 2 4  <END> F CASTELLETTO D'ERRO  B I CODICE FISCALE 
ICE FISCALE C5EY8T Q9GKVJFD  , ATI ANAGRAFICI LIBONALI GIACOMA <START:DOB> 954O1902 <END> M CASTELLETTO D'ORBA  B O CODICE FISCALE 
ICE FISCALE QJO8H 1RPIBG5E 9 , ATI ANAGRAFICI LIBORIO GIGETTA <START:DOB> O4OO 1912 <END> M CASTELLETTO DI BRANDUZZO  B Z CODICE FISCALE 
ICE FISCALE I EA6VN  OSGFQZB , ATI ANAGRAFICI LIBUZZI GALIANA <START:DOB> 1782OO36  94 <END> M CASTELLETTO MERLI  B S CODICE FISCALE 
ICE FISCALE 6EC 9 S KWJIYPLV , ATI ANAGRAFICI LICADIA GELMIRA <START:DOB> 13011950 <END> M CASTELLETTO MOLINA  B R CODICE FISCALE 
ICE FISCALE  B 5PJWCDNM EFY6 , ATI ANAGRAFICI LICALA GENTILA <START:DOB> 05 02 1947 <END> M CASTELLETTO MONFERRATO  C A CODICE FISCALE 
ICE FISCALE XCKNLJ HZ6  UMV  , ATI ANAGRAFICI LICARI GEROLAMINA <START:DOB> 2701 1938 <END> M CASTELLETTO SOPRA TICINO  C L CODICE FISCALE 
ICE FISCALE 8VIW9AYEGJTH SN1 , ATI ANAGRAFICI LICASTRI GIACOMETTA <START:DOB> 0 7 6 5 2001 <END> F CASTELLETTO STURA  C B CODICE FISCALE 
ICE FISCALE R XL86MAHEUT5OVY , ATI ANAGRAFICI LICATA GIGIA <START:DOB> O 3 1 4 2 O 1 6  <END> F CASTELLETTO UZZONE  C I CODICE FISCALE 
ICE FISCALE BQH9YV6XJ UAI F  , ATI ANAGRAFICI LICCARDI GALILEA <START:DOB> 12711915 <END> M CASTELLI  C E CODICE FISCALE 
ICE FISCALE LTFA6 BMN J5RDU  , ATI ANAGRAFICI LICCIARDELLI GELSA <START:DOB> O221 1908 <END> F CASTELLI CALEPIO  C T CODICE FISCALE 
ICE FISCALE JRYS AGWMPLBU  6 , ATI ANAGRAFICI LICCO GENTILE <START:DOB>  O 76 809 324 <END> F CASTELLINA IN CHIANTI  C Z CODICE FISCALE 
ICE FISCALE XZQ85UM J9 AWFE6 , ATI ANAGRAFICI LICENZIATO GEROLIMA <START:DOB> 09021986 <END> M CASTELLINA MARITTIMA  C H CODICE FISCALE 
ICE FISCALE  1 V 8JDYBOZ65 K , ATI ANAGRAFICI LICIA GIACOMINA <START:DOB> 01 07 1924 <END> M CASTELLINALDO D'ALBA  C O CODICE FISCALE 
ICE FISCALE Q9TP GR J 6N1VZO , ATI ANAGRAFICI LICO GIGINA <START:DOB> 1105 1998 <END> F CASTELLINO DEL BIFERNO  C S CODICE FISCALE 
ICE FISCALE  EH ONTPR6JK XFM , ATI ANAGRAFICI LICOCHIO GALLIA <START:DOB> 4 5 2 8 2004 <END> F CASTELLINO TANARO  C R CODICE FISCALE 
ICE FISCALE XQN19 AW8OBCJD 6 , ATI ANAGRAFICI LICOMBRA GELSINA <START:DOB> 5 6 O 2 0 4 8 2  <END> M CASTELLIRI  K R CODICE FISCALE 
ICE FISCALE  NBLD  8FKY Z9Q6 , ATI ANAGRAFICI LICUDI GENTILIA <START:DOB> 81331919 <END> F CASTELLO CABIAGLIO  C N CODICE FISCALE 
ICE FISCALE  R1 A69 8WZUJOYG , ATI ANAGRAFICI LIETO GEROLOMINA <START:DOB> 0140 1917 <END> M CASTELLO D'AGOGNA  E N CODICE FISCALE 
ICE FISCALE TO6IPKG VYE9LMAH , ATI ANAGRAFICI LIGABUE GIADA <START:DOB> 35  714  2 90 <END> M CASTELLO D'ARGILE  F M CODICE FISCALE 
ICE FISCALE QS  CK61VE 5NFLR , ATI ANAGRAFICI LIGGIO GIGLIA <START:DOB> 14111993 <END> F CASTELLO DEL MATESE  F E CODICE FISCALE 
ICE FISCALE BC S T5IVUWH A D , ATI ANAGRAFICI LIGNAIGO GALLIANA <START:DOB> 12 03 1959 <END> M CASTELLO DELL'ACQUA  F I CODICE FISCALE 
ICE FISCALE F VGPNOMJ Q 5W 6 , ATI ANAGRAFICI LIGNAROLI GELSOMINA <START:DOB> 1602 1929 <END> F CASTELLO DI ANNONE  F G CODICE FISCALE 
ICE FISCALE Q1H9V8SM K LABC  , ATI ANAGRAFICI LIGORETTI GENTILINA <START:DOB> 9 8 O O 2013 <END> F CASTELLO DI BRIANZA  F C CODICE FISCALE 
ICE FISCALE LH1UKW Y6PAMNVSF , ATI ANAGRAFICI LILLO GEROMINA <START:DOB> 6 O 1 4 3 7 8 1  <END> F CASTELLO DI CISTERNA  F R CODICE FISCALE 
ICE FISCALE DP6  TE8ZRVA LQF , ATI ANAGRAFICI LILLUZIO GIAMPAOLA <START:DOB> 49351918 <END> F CASTELLO DI GODEGO  G E CODICE FISCALE 
ICE FISCALE 51D EOTXVNG8BKQ  , ATI ANAGRAFICI LIMA GIGLIANA <START:DOB> 79OO 1906 <END> F CASTELLO TESINO  G O CODICE FISCALE 
ICE FISCALE O 1 YJ568NAMREUL , ATI ANAGRAFICI LIMANDRI GANDOLFA <START:DOB> 186 0O  74O <END> F CASTELLO-MOLINA DI FIEMME  G R CODICE FISCALE 
ICE FISCALE AT FP6GW N5J R D , ATI ANAGRAFICI LIMANETTI GELTRUDE <START:DOB> 18091967 <END> F CASTELLUCCHIO  I M CODICE FISCALE 
ICE FISCALE B6HS RPY5XC9WIZ1 , ATI ANAGRAFICI LIMONCELLI GENUARIA <START:DOB> 11 02 1913 <END> F CASTELLUCCIO DEI SAURI  I S CODICE FISCALE 
ICE FISCALE ZPE98SYJLMNAWTHD , ATI ANAGRAFICI LIMONI GERONIMA <START:DOB> 0404 1958 <END> F CASTELLUCCIO INFERIORE  S P CODICE FISCALE 
ICE FISCALE KL85R TH1OZAPUCS , ATI ANAGRAFICI LIMOSINI GIAMPIERA <START:DOB> 8 O 4 1 2016 <END> F CASTELLUCCIO SUPERIORE  A Q CODICE FISCALE 
ICE FISCALE 9 GNA5X VCQDSKW1 , ATI ANAGRAFICI LINA GIGLIANTE <START:DOB> 3 O 9 7 3 9 3 0  <END> M CASTELLUCCIO VALMAGGIORE  L T CODICE FISCALE 
ICE FISCALE K1IPQ CAVT EU5SY , ATI ANAGRAFICI LINARI GARDENIA <START:DOB> 7O481915 <END> F CASTELMAGNO  L E CODICE FISCALE 
ICE FISCALE VSHJRX ZWC1F   G , ATI ANAGRAFICI LINCIO GEMELLA <START:DOB> 0223 1901 <END> M CASTELMARTE  L C CODICE FISCALE 
ICE FISCALE ZFPHS G6IJ19YVLX , ATI ANAGRAFICI LINE GENUINA <START:DOB> 637 O   981O <END> M CASTELMASSA  L I CODICE FISCALE 
ICE FISCALE NMQ B9DLT  ZS1HG , ATI ANAGRAFICI LINFANTE GERTRUDE <START:DOB> 04091906 <END> F CASTELMAURO  L O CODICE FISCALE 
ICE FISCALE   DLJ51HKMO89FZA , ATI ANAGRAFICI LINGUA GIANA <START:DOB> 17 04 1906 <END> F CASTELMEZZANO  L U CODICE FISCALE 
ICE FISCALE 8W  JNG V LIZA B , ATI ANAGRAFICI LINGUADIVACCA GIGLIETTA <START:DOB> 2705 1941 <END> M CASTELMOLA  M C CODICE FISCALE 
ICE FISCALE E1DIS95C Q 6ZPGW , ATI ANAGRAFICI LINIMO GARDINA <START:DOB> 8 0 9 4 2017 <END> F CASTELNOVETTO  M N CODICE FISCALE 
ICE FISCALE ASC IF HTVG6 1YB , ATI ANAGRAFICI LINIZERI GEMILIANA <START:DOB> 4 3 1 O O 3 O 3  <END> M CASTELNOVO BARIANO  M S CODICE FISCALE 
ICE FISCALE FJMKWSX   LUA1VH , ATI ANAGRAFICI LINIZZI GENUNZIA <START:DOB> 8OO31910 <END> F CASTELNOVO DEL FRIULI  M T CODICE FISCALE 
ICE FISCALE U9ST6C5M  8EK1RG , ATI ANAGRAFICI LINSALATA GERVASA <START:DOB> 4568 1900 <END> M CASTELNOVO DI SOTTO  V S CODICE FISCALE 
ICE FISCALE 5 K8OYMQJBVXL9 P , ATI ANAGRAFICI LIOMITLI GIANCARLA <START:DOB> O7390  O41  <END> F CASTELNOVO NE' MONTI  M E CODICE FISCALE 
ICE FISCALE   FUW8 C ERXHNJG , ATI ANAGRAFICI LIONDACA GIGLIO <START:DOB> 05061991 <END> M CASTELNUOVO  M I CODICE FISCALE 
ICE FISCALE  RZOC J1UHVLXFGN , ATI ANAGRAFICI LIONELLO GARIBALDINA <START:DOB> 07 04 1928 <END> F CASTELNUOVO BELBO  M O CODICE FISCALE 
ICE FISCALE KXQ5PB1UI E9AM8W , ATI ANAGRAFICI LIONI GEMINA <START:DOB> 0201 1931 <END> F CASTELNUOVO BERARDENGA  M B CODICE FISCALE 
ICE FISCALE MUSZ IRA 65GK8PX , ATI ANAGRAFICI LIOTTA GENZIANA <START:DOB> O 3 8 3 2016 <END> F CASTELNUOVO BOCCA D'ADDA  N A CODICE FISCALE 
ICE FISCALE 9 NQ  PHMD8YZ6GS , ATI ANAGRAFICI LIPESARI GERVASIA <START:DOB> 4 1 1 3 1 4 3 6  <END> F CASTELNUOVO BORMIDA  N O CODICE FISCALE 
ICE FISCALE U6MI CDA8K YOBJ  , ATI ANAGRAFICI LIPOSITO GIANFRANCA <START:DOB> 29301910 <END> M CASTELNUOVO BOZZENTE  N U CODICE FISCALE 
ICE FISCALE  1V BMU QYI5GOS8 , ATI ANAGRAFICI LIPPI GIGLIOLA <START:DOB> 976O 1910 <END> F CASTELNUOVO CALCEA  O G CODICE FISCALE 
ICE FISCALE  WJRAFGD 8LXNSQ5 , ATI ANAGRAFICI LIRA GASPARA <START:DOB> 1O7O893     <END> M CASTELNUOVO CILENTO  O T CODICE FISCALE 
ICE FISCALE VQGZO BUAD 9S C6 , ATI ANAGRAFICI LISBONA GEMINIANA <START:DOB> 29061963 <END> F CASTELNUOVO DEL GARDA  O R CODICE FISCALE 
ICE FISCALE  CE PNOG RYXM9IZ , ATI ANAGRAFICI LISIGNOLI GENZINA <START:DOB> 07 06 1959 <END> F CASTELNUOVO DELLA DAUNIA  P D CODICE FISCALE 
ICE FISCALE 1VCDU9 E  6RXO   , ATI ANAGRAFICI LISOTTA GESSICA <START:DOB> 0205 1983 <END> F CASTELNUOVO DI CEVA  P A CODICE FISCALE 
ICE FISCALE DT MLKGPQ9IUOW1F , ATI ANAGRAFICI LISSARIO GIANFRANCESCA <START:DOB> 5 4 5 6 2011 <END> M CASTELNUOVO DI CONZA  P R CODICE FISCALE 
ICE FISCALE  S9A5 THJX 6 1PK , ATI ANAGRAFICI LISSI GILBERTA <START:DOB> 0 4 2 2 4 3 O 4  <END> F CASTELNUOVO DI FARFA  P V CODICE FISCALE 
ICE FISCALE EZI VPTMYSG F BJ , ATI ANAGRAFICI LISTO GASPARINA <START:DOB> 6O041907 <END> M CASTELNUOVO DI GARFAGNANA  P G CODICE FISCALE 
ICE FISCALE GWF6ROST AHX KP  , ATI ANAGRAFICI LISTRO GEMMA <START:DOB> 184O 1915 <END> M CASTELNUOVO DI PORTO  P U CODICE FISCALE 
ICE FISCALE CBG PXU1REQ6LAO8 , ATI ANAGRAFICI LITA GEORGIA <START:DOB> O409O8 6 713  <END> M CASTELNUOVO DI VAL DI CECINA  P E CODICE FISCALE 
ICE FISCALE  W1JCHQL FKM9DY  , ATI ANAGRAFICI LIUSI GESUALDA <START:DOB> 20081949 <END> M CASTELNUOVO DON BOSCO  P C CODICE FISCALE 
ICE FISCALE U1 EVS NFTCWGPZQ , ATI ANAGRAFICI LIUZZA GIANGIORGIA <START:DOB> 16 06 1959 <END> M CASTELNUOVO MAGRA  P I CODICE FISCALE 
ICE FISCALE CU19PDV XJHWSEM5 , ATI ANAGRAFICI LIUZZO GILBERTINA <START:DOB> 2001 1993 <END> F CASTELNUOVO NIGRA  P T CODICE FISCALE 
ICE FISCALE MJDTRLCQ A 9OXKI , ATI ANAGRAFICI LIVACARI GASPERA <START:DOB> 5 4 9 2 2007 <END> F CASTELNUOVO PARANO  P N CODICE FISCALE 
ICE FISCALE L JA1EQKBS VH6 Y , ATI ANAGRAFICI LIVECCHI GEMMINA <START:DOB> 0 3 O 4 4 9 1 3  <END> F CASTELNUOVO RANGONE  P Z CODICE FISCALE 
ICE FISCALE POBTVQE LURFSGYJ , ATI ANAGRAFICI LIVRIERI GEPPINA <START:DOB> 1O771916 <END> M CASTELNUOVO SCRIVIA  P O CODICE FISCALE 
ICE FISCALE THC9FV L68R XJKY , ATI ANAGRAFICI LIZZI GESUALDINA <START:DOB> O411 1915 <END> F CASTELPAGANO  R G CODICE FISCALE 
ICE FISCALE RVXUINJS8  FZYC  , ATI ANAGRAFICI LO BASSO GIANLUCIA <START:DOB>  O  8 7O 9625 <END> F CASTELPETROSO  R A CODICE FISCALE 
ICE FISCALE NYTS1WV8 9ZKU IX , ATI ANAGRAFICI LO BELLO GILDA <START:DOB> 04031908 <END> F CASTELPIZZUTO  R C CODICE FISCALE 
ICE FISCALE Y KGTZHLQ VROD W , ATI ANAGRAFICI LO BIANCO GASPERINA <START:DOB> 24 08 1937 <END> F CASTELPLANIO  R E CODICE FISCALE 
ICE FISCALE LQS1G O68UXKPTAV , ATI ANAGRAFICI LO BRACCO GENEROSA <START:DOB> 2009 1929 <END> F CASTELPOTO  R I CODICE FISCALE 
ICE FISCALE S 5 MZUCFPED BT9 , ATI ANAGRAFICI LO BRUTTO GERALDA <START:DOB> 4 O O 5 2001 <END> F CASTELRAIMONDO  R N CODICE FISCALE 
ICE FISCALE  9FG BX1IU6 CN8T , ATI ANAGRAFICI LO BUE GESUELA <START:DOB> 3 2 0 0 4 8 7 4  <END> F CASTELROTTO  R M CODICE FISCALE 
ICE FISCALE  SXL8NJWIMAY6TPD , ATI ANAGRAFICI LO CASTO GIANLUIGIA <START:DOB> O5441916 <END> F CASTELSANTANGELO SUL NERA  R O CODICE FISCALE 
ICE FISCALE  SWRK  5G YOAF1Z , ATI ANAGRAFICI LO CIGNO GILIA <START:DOB> O10O 1907 <END> F CASTELSARACENO  S A CODICE FISCALE 
ICE FISCALE QSUZEKXF NO V59P , ATI ANAGRAFICI LO CURTO GILIANA <START:DOB> O05  2684 73 <END> F CASTELSARDO  S S CODICE FISCALE 
ICE FISCALE KJQ D 8R ZV159IN , ATI ANAGRAFICI LO DESTRO GIOINA <START:DOB> 23111919 <END> M CASTELSEPRIO  S V CODICE FISCALE 
ICE FISCALE FR1X   W KOL THA , ATI ANAGRAFICI LO DUCA GIOVINA <START:DOB> 18 08 1943 <END> F CASTELSILANO  S I CODICE FISCALE 
ICE FISCALE 1MLKDX RSF8 N5I6 , ATI ANAGRAFICI LO FRANCO GIUSTA <START:DOB> 0510 1900 <END> M CASTELSPINA  S R CODICE FISCALE 
ICE FISCALE  RZMO8UXB9 A6JD  , ATI ANAGRAFICI LO FRASSO GRADISCA <START:DOB> 1 4 1 1 2016 <END> F CASTELTERMINI  S O CODICE FISCALE 
ICE FISCALE IH85TZGQX YKMULN , ATI ANAGRAFICI LO GATTO GUARINA <START:DOB> 8 O 8 6 6 8 7 2  <END> F CASTELVECCANA  T A CODICE FISCALE 
ICE FISCALE JI 6OV5KX LTW9NZ , ATI ANAGRAFICI LO GRASSO GILIANTE <START:DOB> 571O1916 <END> F CASTELVECCHIO CALVISIO  T E CODICE FISCALE 
ICE FISCALE FD  AO68 GLBQ9N  , ATI ANAGRAFICI LO GUERCIO GIOIOSA <START:DOB> 386O 1904 <END> F CASTELVECCHIO DI ROCCA BARBENA  T R CODICE FISCALE 
ICE FISCALE S DAZH 8WKIJBG6N , ATI ANAGRAFICI LO MAGRO GIRALDA <START:DOB>  761O  42 839 <END> F CASTELVECCHIO SUBEQUO  T P CODICE FISCALE 
ICE FISCALE PVBWI KQNDA8ME6  , ATI ANAGRAFICI LO MANTO GIUSTINA <START:DOB> 16011991 <END> M CASTELVENERE  T N CODICE FISCALE 
ICE FISCALE O6TQH 1VJ 8F9A Y , ATI ANAGRAFICI LO MUTO GRADITA <START:DOB> 15 08 1955 <END> M CASTELVERDE  T V CODICE FISCALE 
ICE FISCALE 9LF6 J1DMZ8 SPE5 , ATI ANAGRAFICI LO PAPA GUELFA <START:DOB> 1510 1992 <END> M CASTELVERRINO  T S CODICE FISCALE 
ICE FISCALE H6NMSB TAD5 YXO8 , ATI ANAGRAFICI LO PARCO GILIOLA <START:DOB> 9 7 6 5 2001 <END> F CASTELVETERE IN VAL FORTORE  T O CODICE FISCALE 
ICE FISCALE  QL5WSRZC 1PDOU  , ATI ANAGRAFICI LO PARROCCO GIONNINA <START:DOB> 7 8 6 5 3 2 0 0  <END> M CASTELVETERE SUL CALORE  U D CODICE FISCALE 
ICE FISCALE M8PXENJHIR CKA S , ATI ANAGRAFICI LO PRELATO GIROLAMA <START:DOB> 22O61905 <END> M CASTELVETRANO  V A CODICE FISCALE 
