CODICE FISCALE   S5LGIOW N HPB1K ,  DATI ANAGRAFICI ABATE ABACO  POK 19 06 1969 M ABANO TERME  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCAL YJA WZG USLN8OD9 DATI ANAGRAFICI PORCARO BABBEUE O 5 9 3 O O 3 5   CODICE FISCALE 
CODICE FISCAL F D PLOCT1HEMBN  DATI ANAGRAFICI PORCELLA BABIONE 3O601901  CODICE FISCALE 
CODICE FISCAL CXVPIH8BUOLK  R  DATI ANAGRAFICI PORCELLI BABZAROTTI 0549 1913  CODICE FISCALE 
CODICE FISCAL 9GXO MZTAC EBLR6 DATI ANAGRAFICI PORCHELLA BAC  34  09O756 O  CODICE FISCALE 
CODICE FISCAL ZWJL EY68FCKNDI  DATI ANAGRAFICI PORCI BACCALA 05101949  CODICE FISCALE 
CODICE FISCAL JHAC59N  QUO1 V  DATI ANAGRAFICI PORCILE BACCALARE 29 03 1912  CODICE FISCALE 
CODICE FISCAL  9SBLMED 1C8W O  DATI ANAGRAFICI PORCILLINE BACCANI 1206 1901  CODICE FISCALE 
CODICE FISCAL SN6K IVOM9U YFCR DATI ANAGRAFICI PORCO BACCARA 5 5 3 8 2000  CODICE FISCALE 
CODICE FISCAL 9FGN  LBDO8HW 5M DATI ANAGRAFICI PORCU BACCAREDA 0 0 8 3 0 4 0 O   CODICE FISCALE 
CODICE FISCAL EM KC V RQ8 WZHU DATI ANAGRAFICI POREDI BACCARELLA 9O9O1908  CODICE FISCALE 
CODICE FISCAL GV S PD6HAFZ8 MT DATI ANAGRAFICI PORENCCARO BACCARI 0088 1904  CODICE FISCALE 
CODICE FISCAL X5NH O  R IUB DZ DATI ANAGRAFICI PORENI BACCELLI 06897O5 41O    CODICE FISCALE 
CODICE FISCAL FVPK C T19D8LUMN DATI ANAGRAFICI PORETTI BACCELLIERI 09101906  CODICE FISCALE 
CODICE FISCAL N9KMRAF6BP TOV 1 DATI ANAGRAFICI PORPORA BACCHETTI 09 11 1967  CODICE FISCALE 
CODICE FISCAL  9 Y5TKO PSGA  W DATI ANAGRAFICI PORPORATI BACCHI 2402 1956  CODICE FISCALE 
CODICE FISCAL HPXEL 8KW CQYM D DATI ANAGRAFICI PORQUEDDU BACCHIMHANE 3 0 3 5 2008  CODICE FISCALE 
CODICE FISCAL BFA5DTXR NW ZLH  DATI ANAGRAFICI PORRAZNO BACCI 8 7 6 3 5 1 O O   CODICE FISCALE 
CODICE FISCAL H8GSNJU6IQRY  E  DATI ANAGRAFICI PORREGA BACCIERI O5051902  CODICE FISCALE 
CODICE FISCAL LKXNR1HA OTFCVU9 DATI ANAGRAFICI PORRELLO BAMBINO 2OOO 1901  CODICE FISCALE 
CODICE FISCAL  F5V 8XNBWTKLUOM DATI ANAGRAFICI PORRETTI BANADINO 0824 5931O    CODICE FISCALE 
CODICE FISCAL 6ITQOSDBC  KM JZ DATI ANAGRAFICI PORRU BANANCO 19021938  CODICE FISCALE 
CODICE FISCAL 1RBTSMPQLNYVWAE  DATI ANAGRAFICI PORSOSA BANANNO 24 01 1917  CODICE FISCALE 
CODICE FISCAL CVNAM G6TB ZW5L  DATI ANAGRAFICI PORTA BANCHIERI 0310 1945  CODICE FISCALE 
CODICE FISCAL  EQTLF8RO DNB 6X DATI ANAGRAFICI PORTAFOGLIO BANDANE 3 0 O 1 2019  CODICE FISCALE 
CODICE FISCAL M 8 CQYVZEBUGD O DATI ANAGRAFICI PORTALEPI BANDERA 7 1 5 O 2 4 2 9   CODICE FISCALE 
CODICE FISCAL  QCV8SL1DBP FOU5 DATI ANAGRAFICI PORTELLI BANDEROLA OOO51901  CODICE FISCALE 
CODICE FISCAL H W IBAXPFQVK L8 DATI ANAGRAFICI PORTERA BANDETTINI 9O94 1918  CODICE FISCALE 
CODICE FISCAL IGEHCUMWDQ  YVZO DATI ANAGRAFICI PORTERO BANDIERA 2O31 0564    CODICE FISCALE 
CODICE FISCAL C6SVA1PKOWQ HZ Y DATI ANAGRAFICI PORTICO BANDINELLI 15081900  CODICE FISCALE 
CODICE FISCAL O6 A5JU9VEM QDRC DATI ANAGRAFICI PORTIERO BANDITI 04 02 1982  CODICE FISCALE 
CODICE FISCAL 5A IRGTDL MCYOHQ DATI ANAGRAFICI PORTINARI BANDUCCI 2710 1937  CODICE FISCALE 
CODICE FISCAL WBC P F9GV8MYIEJ DATI ANAGRAFICI PORTINCASA BANETTI 5 3 0 6 2007  CODICE FISCALE 
CODICE FISCAL  XF1YKCVAS9O6RB  DATI ANAGRAFICI PORTOGALLO BANFANTI 1 5 5 O 5 3 7 6   CODICE FISCALE 
CODICE FISCAL Y AGKZ1HPDUV9C65 DATI ANAGRAFICI PORTOGHESE BANNES 06751914  CODICE FISCALE 
CODICE FISCAL VA NXMPI CLH F89 DATI ANAGRAFICI PORTULANO BARABERI 6330 1903  CODICE FISCALE 
CODICE FISCAL QJP XKR6G1UBZA5F DATI ANAGRAFICI POSADA BARACCA O32O0798 15   CODICE FISCALE 
CODICE FISCAL SLJ8 9AT CU K XH DATI ANAGRAFICI POSITERO BARAGGIA 19061975  CODICE FISCALE 
CODICE FISCAL  X G1HUBO5EQZID6 DATI ANAGRAFICI POSSENTI BARAGGIOLI 30 10 1912  CODICE FISCALE 
CODICE FISCAL J MRU9CW TS  ZIE DATI ANAGRAFICI POSSUMATO BARAMONTE 3007 1988  CODICE FISCALE 
CODICE FISCAL QIBO8K  P CNFHW9 DATI ANAGRAFICI POSTERARO BARASA 8 6 O O 2009  CODICE FISCALE 
CODICE FISCAL LIWASODGF9BX51NC DATI ANAGRAFICI POSTICELLI BARASSI 5 4 9 6 5 4 0 4   CODICE FISCALE 
CODICE FISCAL H8 IN FQBS1YRDGA DATI ANAGRAFICI POSTIGLIONE BARATTA 62121915  CODICE FISCALE 
CODICE FISCAL CF  UE6KYX8TJ    DATI ANAGRAFICI POSTINELLI BARAU 9602 1911  CODICE FISCALE 
CODICE FISCAL C8KW6  MZQ RESAG DATI ANAGRAFICI POTENZA BARAVALLE 2O 7  4 038   CODICE FISCALE 
CODICE FISCAL  6UGBCLTX S JOMN DATI ANAGRAFICI POTEROZA BARAZZOLI 13111956  CODICE FISCALE 
CODICE FISCAL KH8PN1   TWE UYD DATI ANAGRAFICI POTONI BARAZZOTTI 24 02 1963  CODICE FISCALE 
CODICE FISCAL  FK SEMU85X P JN DATI ANAGRAFICI POTTAZANA BARBABIANCA 1901 1950  CODICE FISCALE 
CODICE FISCAL RL 1 G68JUSYDN   DATI ANAGRAFICI POTTINI BARBADORO 9 4 3 1 2019  CODICE FISCALE 
CODICE FISCAL GX 65AMW ZBJVK D DATI ANAGRAFICI POTTRONE BARBAGALLO 1 O 4 6 8 8 O 0   CODICE FISCALE 
CODICE FISCAL 1R5HMPZ DLGCI  N DATI ANAGRAFICI POTUTO BARBAGELATA 03081919  CODICE FISCALE 
CODICE FISCAL  UKP1 QFJRZILAMV DATI ANAGRAFICI POUEPUITO BARBA–I 92OO 1918  CODICE FISCALE 
CODICE FISCAL Q MUKNDSPJ8 ZI6E DATI ANAGRAFICI POUZO BARBALARGA O 8 27 93O   CODICE FISCALE 
CODICE FISCAL E5M RQVXZUIT GDL DATI ANAGRAFICI POVENZANO BARBALISCIA 28081927  CODICE FISCALE 
CODICE FISCAL IO1  RAV8TF 9HMS DATI ANAGRAFICI POVERO BARBANEGRA 28 04 1968  CODICE FISCALE 
CODICE FISCAL Y6  EIGKXC SQTAU DATI ANAGRAFICI POVEROMO BARBANERA 1211 1944  CODICE FISCALE 
CODICE FISCAL GIZ N 8R Q9KLMHE DATI ANAGRAFICI POVEROSO BARBANO 6 O 8 1 2016  CODICE FISCALE 
CODICE FISCAL JW F 9GYPN OVB T DATI ANAGRAFICI POVETTO BARBANTINI O 5 8 0 9 0 O 1   CODICE FISCALE 
CODICE FISCAL DVJLE IAM8BU6 W  DATI ANAGRAFICI POVOLO BARBAPICCOLA 65O41917  CODICE FISCALE 
CODICE FISCAL YE QIFH1W8 6B JO DATI ANAGRAFICI POZZETTI BARBARA 9252 1907  CODICE FISCALE 
CODICE FISCAL AGV HIR6QL WXPDN DATI ANAGRAFICI POZZI BARBARICCIA 50O68  7312  CODICE FISCALE 
CODICE FISCAL TWSPMN6YFI A BVC DATI ANAGRAFICI POZZO BARBARIGO 26041904  CODICE FISCALE 
CODICE FISCAL JTY GPW86EZDRACI DATI ANAGRAFICI POZZOLI BARBARINO 20 01 1975  CODICE FISCALE 
CODICE FISCAL WGV KZN XH CO YS DATI ANAGRAFICI POZZONE BARBARITO 0603 1942  CODICE FISCALE 
CODICE FISCAL  NCTBW 5KDIU1SLP DATI ANAGRAFICI PRÀ BARBARO 9 3 4 8 2015  CODICE FISCALE 
CODICE FISCAL 8FQMXGTUKL S1I 6 DATI ANAGRAFICI PRAINO BARBARONE 5 4 5 1 O 7 7 O   CODICE FISCALE 
CODICE FISCAL IMA  6G5ZSDPEHT  DATI ANAGRAFICI PRAJA BARBAROSSA 81O61904  CODICE FISCALE 
CODICE FISCAL CHYQABDZMSNUL9XI DATI ANAGRAFICI PRAM BARBAROTTA 40O0 1910  CODICE FISCALE 
CODICE FISCAL ZNLBIDEPGSYATFH6 DATI ANAGRAFICI PRAROITA BARBARUTO 71 O 249O    CODICE FISCALE 
CODICE FISCAL N UT J GV1MXL6 K DATI ANAGRAFICI PRASRAUCO BARBATO 06011973  CODICE FISCALE 
CODICE FISCAL FNP 8RGLX 1KV I5 DATI ANAGRAFICI PRAVATA BARBATOSTA 11 03 1923  CODICE FISCALE 
CODICE FISCAL INDTS1ACLZ6W H X DATI ANAGRAFICI PRCRETTO BARBAZIO 0605 1997  CODICE FISCALE 
CODICE FISCAL 9KI ALXESVM56Q8D DATI ANAGRAFICI PREMONTE BARBENSI 6 5 4 9 2003  CODICE FISCALE 
CODICE FISCAL GKJ8 WL  XVHONMZ DATI ANAGRAFICI PRENPATO BARBER 3 5 7 5 4 0 1 0   CODICE FISCALE 
CODICE FISCAL 5 N 9B SP1C8ZIFG DATI ANAGRAFICI PRESTESIMONO BARBERA 06281902  CODICE FISCALE 
CODICE FISCAL R1J6PUZV TCKNY 9 DATI ANAGRAFICI PRESTIA BARBERIO 1609 1905  CODICE FISCALE 
CODICE FISCAL IPZ9YW5X   1M8NL DATI ANAGRAFICI PRESTIGIACOMO BARBERO   7O92  54 6  CODICE FISCALE 
CODICE FISCAL  CQA 6HUM 9P1E O DATI ANAGRAFICI PRESTISIONE BARBI 02061969  CODICE FISCALE 
CODICE FISCAL 58Q9   GVUK EWTF DATI ANAGRAFICI PRETE BARBIERA 18 04 1928  CODICE FISCALE 
CODICE FISCAL HGT5XEA BVQPSK D DATI ANAGRAFICI PREVITE BARBIERI 0305 1920  CODICE FISCALE 
CODICE FISCAL IS8 L Z 1DC6MUXW DATI ANAGRAFICI PRIARARO BARBISIO O O 6 O 2006  CODICE FISCALE 
CODICE FISCAL LPJVG1 U S6D MZO DATI ANAGRAFICI PRIAZO BARBIZZOLI 7 4 5 9 O 1 1 4   CODICE FISCALE 
CODICE FISCAL E9FR8  OVPBJX6D  DATI ANAGRAFICI PRIETRA BARBOLLA 29781903  CODICE FISCALE 
CODICE FISCAL  6ZDFOP8RI1GCXWB DATI ANAGRAFICI PRIMA BARBONE 37O2 1905  CODICE FISCALE 
CODICE FISCAL Z  AMCYUIX1KTB 8 DATI ANAGRAFICI PRIMIO BARBORA O9 36O    185  CODICE FISCALE 
CODICE FISCAL  K GB59MHRWTZA   DATI ANAGRAFICI PRIMO BARCA 01051937  CODICE FISCALE 
CODICE FISCAL TB9JCYWKNPIEFG8V DATI ANAGRAFICI PRIOLO BARCAI 07 01 1911  CODICE FISCALE 
CODICE FISCAL  9FHA KBMSTWGO 1 DATI ANAGRAFICI PRIOSE BARCARO 2911 1975  CODICE FISCALE 
CODICE FISCAL VNI KFUMBCZ9  8A DATI ANAGRAFICI PRIVETERA BARCAROLI O 1 6 4 2018  CODICE FISCALE 
CODICE FISCAL XFEG9SD T 81JZY  DATI ANAGRAFICI PRIVITERA BARCATA 2 0 7 O 5 7 2 1   CODICE FISCALE 
CODICE FISCAL 8HQI5 6MGLYD UKR DATI ANAGRAFICI PRIZZI BARCELLI 92671905  CODICE FISCALE 
CODICE FISCAL Q  SY AMRIW 5L81 DATI ANAGRAFICI PROELLO BARCELLONA 793O 1915  CODICE FISCALE 
CODICE FISCAL DZKPB5 8HG6  WME DATI ANAGRAFICI PROFUMO BARCELLONE 375 2 O8 4O  CODICE FISCALE 
CODICE FISCAL TFKURB  8MQY9VCH DATI ANAGRAFICI PROIETTI BARCELONA 02041987  CODICE FISCALE 
CODICE FISCAL U EAT6IN5YJ MZ 1 DATI ANAGRAFICI PROIETTOSI BARCELONE 04 04 1934  CODICE FISCALE 
CODICE FISCAL A 5H9K86VICBQXLS DATI ANAGRAFICI PROITTA BARCHETTI 1001 1956  CODICE FISCALE 
CODICE FISCAL 5 VJM6LWGCS  ZD  DATI ANAGRAFICI PROLA BARCIA O 7 6 7 2000  CODICE FISCALE 
CODICE FISCAL  COYTHMB SDRIP5G DATI ANAGRAFICI PROLO BARDARI 9 0 1 2 O 6 3 8   CODICE FISCALE 
CODICE FISCAL RGPF6 EBD W 1MO9 DATI ANAGRAFICI PRORETTO BARDELLA 82O61911  CODICE FISCALE 
CODICE FISCAL 5HD  LRTEG8ZB1 W DATI ANAGRAFICI PROSETTO BARDI 5114 1918  CODICE FISCALE 
CODICE FISCAL C9NAW KV6Y  1ZOM DATI ANAGRAFICI PROSITOTTE BARDO 6 58O0 3O9   CODICE FISCALE 
CODICE FISCAL W QRKTAMN5UHE19X DATI ANAGRAFICI PROSPERI BARDOTTI 02081909  CODICE FISCALE 
CODICE FISCAL   FQ69HWG U ANLJ DATI ANAGRAFICI PROTOPAPA BAREA 11 02 1902  CODICE FISCALE 
CODICE FISCAL OUXVQ RMBTD9ZIHG DATI ANAGRAFICI PROVATA BARECA 0202 1995  CODICE FISCALE 
CODICE FISCAL OLKYGIN A6UBFQS9 DATI ANAGRAFICI PROVENSA BARESI 8 9 6 2 2010  CODICE FISCALE 
CODICE FISCAL XTY A5PI6V1W QSF DATI ANAGRAFICI PROVENZA BARETTI 8 8 2 3 3 O O 4   CODICE FISCALE 
CODICE FISCAL  EKR1  NHUOP9 WC DATI ANAGRAFICI PROVENZANO BARETTO OO601911  CODICE FISCALE 
CODICE FISCAL GDFH 5BQA O NC8U DATI ANAGRAFICI PROVENZARIO BARGELLI 7467 1919  CODICE FISCALE 
CODICE FISCAL  PDOMCTXGW  K H5 DATI ANAGRAFICI PROVETTA BARGO 876 0  539O2  CODICE FISCALE 
CODICE FISCAL MQK VCXGLFTE9I8S DATI ANAGRAFICI PROVIDENCA BARGONE 21021906  CODICE FISCALE 
CODICE FISCAL  TEGSQMRYA 6OBN  DATI ANAGRAFICI PROZANA BARIA 23 08 1945  CODICE FISCALE 
CODICE FISCAL VPZL 8QTXRC5Y9W6 DATI ANAGRAFICI PRUSSARA BARICA 2610 1987  CODICE FISCALE 
CODICE FISCAL C1 MGD  P SNVBLX DATI ANAGRAFICI PRUSSO BARILE 1 O O 3 2018  CODICE FISCALE 
CODICE FISCAL 5 RC9O1KUHJB F Z DATI ANAGRAFICI PUASTERI PUCCI BARILLARI 9 2 8 0 9 3 3 5   CODICE FISCALE 
CODICE FISCAL JQY DM6C WPGVULA DATI ANAGRAFICI PUCCIA BARINETTI 33031911  CODICE FISCALE 
CODICE FISCAL DKO WYLH GS6CFM5 DATI ANAGRAFICI PUCCIANTI BARINETTO 8069 1907  CODICE FISCALE 
CODICE FISCAL M8GPSBA LU Q19 W DATI ANAGRAFICI PUCCIARELLI BARINO 08 921O4  5O  CODICE FISCALE 
CODICE FISCAL 8TBRAH6 DVWCKQES DATI ANAGRAFICI PUCCIARELLO BARIOLA 20051985  CODICE FISCALE 
CODICE FISCAL 6IKVFW SA9J QRGD DATI ANAGRAFICI PUCCIO BARISOS 14 10 1951  CODICE FISCALE 
CODICE FISCAL  J O96Y SXD TW 1 DATI ANAGRAFICI PUCINELLI BARLONE 1210 1959  CODICE FISCALE 
CODICE FISCAL GAI8P WEJNOF YBR DATI ANAGRAFICI PUDDU BARLOTOLLO 7 O 9 8 2017  CODICE FISCALE 
CODICE FISCAL R T8L195NJCIZGHV DATI ANAGRAFICI PUGLIA BARNA O 8 3 8 7 3 O 4   CODICE FISCALE 
CODICE FISCAL D PLTWNHI QB  Y5 DATI ANAGRAFICI PUGLIARES BARNABA 89131912  CODICE FISCALE 
CODICE FISCAL 8KW NQJIPF15EAOM DATI ANAGRAFICI PUGLIESE BAROJA O183 1912  CODICE FISCALE 
CODICE FISCAL UM DSKV FJO6W    DATI ANAGRAFICI PUGLISE BAROLA  2O 3407 O1  CODICE FISCALE 
CODICE FISCAL OV1CRQZ     AM5J DATI ANAGRAFICI PUGLISI BARONA 14011997  CODICE FISCALE 
CODICE FISCAL P6QM JW U5X R8CT DATI ANAGRAFICI PUGNALI BARONE 03 03 1970  CODICE FISCALE 
CODICE FISCAL  XPV  O86H IYCDQ DATI ANAGRAFICI PUGNATORE BARONEOLLA 0405 1914  CODICE FISCALE 
CODICE FISCAL P 6THU GV1DX CQ  DATI ANAGRAFICI PUGNI BARONI 1 0 O 6 2002  CODICE FISCALE 
CODICE FISCAL D5CKIUXYN8GW L6  DATI ANAGRAFICI PUGNO BARORCI 7 0 3 3 5 4 0 6   CODICE FISCALE 
CODICE FISCAL GD1ASUTI 9   YQC DATI ANAGRAFICI PUGORI PUIZZO BAROTTO 51811916  CODICE FISCALE 
CODICE FISCAL  9N GMTLUVSWXIF  DATI ANAGRAFICI PULCI BAROZZI 1323 1914  CODICE FISCALE 
CODICE FISCAL   Y6FR1M TCNQUEO DATI ANAGRAFICI PULCINO BARRA 4 O706 12395  CODICE FISCALE 
CODICE FISCAL DXW18ZJVPNHYARQF DATI ANAGRAFICI PULEGA BARRACCA 28011957  CODICE FISCALE 
CODICE FISCAL DH6LM GA9Z IQ5WN DATI ANAGRAFICI PULEO BARRACCHINO 20 07 1981  CODICE FISCALE 
CODICE FISCAL JI5OSHQTND 6AP G DATI ANAGRAFICI PULICCICHIO BARRACO 2804 1949  CODICE FISCALE 
CODICE FISCAL U9 N15BORLVMFK W DATI ANAGRAFICI PULICE BARRAINO 5 O 1 1 2019  CODICE FISCALE 
CODICE FISCAL  PIK5RZTX  9 AWJ DATI ANAGRAFICI PULIDO BARRANCA 2 O O 7 9 8 4 2   CODICE FISCALE 
CODICE FISCAL 5A EL1QYR8I  ZHB DATI ANAGRAFICI PULIGHEDDU BARRANCO 27571906  CODICE FISCALE 
CODICE FISCAL SNAVZ YTGP5C9J D DATI ANAGRAFICI PULIO BARRANCOLO O34O 1911  CODICE FISCALE 
CODICE FISCAL  5DJA1OV KBSTF Z DATI ANAGRAFICI PULISE BARRANIO 465 O 7023 1  CODICE FISCALE 
CODICE FISCAL QBNRDJTK9 O6CLGV DATI ANAGRAFICI PULITO BARRANO 30081990  CODICE FISCALE 
CODICE FISCAL CGM9ED56HXV8  N  DATI ANAGRAFICI PULLO BARRASHANO 18 04 1920  CODICE FISCALE 
CODICE FISCAL JEC 6X  K QUYN5B DATI ANAGRAFICI PUMA BARRATUCCI 1609 1913  CODICE FISCALE 
CODICE FISCAL PYHFEZL819 T AUO DATI ANAGRAFICI PUMETA BARRETTA 5 0 2 5 2000  CODICE FISCALE 
CODICE FISCAL M  5H6QPNE  CUL  DATI ANAGRAFICI PUMICE BARRIERA 9 O 2 6 7 0 O 6   CODICE FISCALE 
CODICE FISCAL PTKCSLVJ6W   5 X DATI ANAGRAFICI PUMO BARRUCCHERI 18811902  CODICE FISCALE 
CODICE FISCAL R5TH  J GVE6DMBO DATI ANAGRAFICI PUMTILLO PUNGIBUOI BARRY 0818 1905  CODICE FISCALE 
CODICE FISCAL A TME1RVGYPLSZW5 DATI ANAGRAFICI PUNGILEONE BARSACATO 5O2   61O  49  CODICE FISCALE 
CODICE FISCAL  APEQ9XHBY CMKN  DATI ANAGRAFICI PUNGITORE BARSELLAMO 15061964  CODICE FISCALE 
CODICE FISCAL T BDU AHK FZLGER DATI ANAGRAFICI PUNTA BARSILUCCI 11 01 1965  CODICE FISCALE 
CODICE FISCAL SNV5FO G8J  IKLZ DATI ANAGRAFICI PUNTALORO BARSSO 2011 1931  CODICE FISCALE 
CODICE FISCAL B QECVWSPGA  D K DATI ANAGRAFICI PUNTONI BARTIVO 2 6 1 6 2014  CODICE FISCALE 
CODICE FISCAL VBS ZRIWOGAJ FHX DATI ANAGRAFICI PUPPOULIVATA BARTOLEMEO 1 3 4 6 8 O O 5   CODICE FISCALE 
CODICE FISCAL XH5DWSZLJE8 6CN  DATI ANAGRAFICI PURCELLI BARTOLI 50911915  CODICE FISCALE 
CODICE FISCAL O51MZRJSK9 WVI H DATI ANAGRAFICI PURCELLO BARTOLINA 9725 1914  CODICE FISCALE 
CODICE FISCAL  89YJFGZ W RMSIH DATI ANAGRAFICI PURGATORIO BARTOLO 27O 0O6 4    CODICE FISCALE 
CODICE FISCAL GIRQMT 1E C BHJP DATI ANAGRAFICI PURIFICATO BARTOLOMASI 12061977  CODICE FISCALE 
CODICE FISCAL WE91 T8CAF 6NX H DATI ANAGRAFICI PURNFATO BARTOLOMEO 29 10 1987  CODICE FISCALE 
CODICE FISCAL  FEOBT U GMZR59Y DATI ANAGRAFICI PURNOLA BARTOLOMUCCI 3003 1978  CODICE FISCALE 
CODICE FISCAL O 1WLXENF59M P6I DATI ANAGRAFICI PURPURA BARTOLOMUCCIO O 7 1 7 2015  CODICE FISCALE 
CODICE FISCAL 91B5LU6JDP8 X  V DATI ANAGRAFICI PURPUSA BARTOLOMUSCI 9 5 O 6 5 9 1 3   CODICE FISCALE 
CODICE FISCAL 1 WF  D OXSRTQ8B DATI ANAGRAFICI PURRAZZELLO BARTOLOTTA 241O1915  CODICE FISCALE 
CODICE FISCAL CU  OHSKMVZD Y5  DATI ANAGRAFICI PUSAGIONI BARTOLUCCI 5OOO 1910  CODICE FISCALE 
CODICE FISCAL U1A C LG9HMBIWJ  DATI ANAGRAFICI PUSATERE BARVANO 9O4753 02 8  CODICE FISCALE 
CODICE FISCAL BU5G  LOPKMRX TF DATI ANAGRAFICI QUAJNO BASACOMADRI 22091943  CODICE FISCALE 
CODICE FISCAL 8HC FO QTJ5 KL B DATI ANAGRAFICI QUARANTA BASADONA 18 02 1986  CODICE FISCALE 
CODICE FISCAL BPNLGVYQMCE  W 8 DATI ANAGRAFICI QUARANTE BASANI 0306 1961  CODICE FISCALE 
CODICE FISCAL GQD  B FLKX U8AH DATI ANAGRAFICI QUARANTELLI BASCETTA 0 9 2 1 2008  CODICE FISCALE 
CODICE FISCAL NPB VSTIX R5 H 6 DATI ANAGRAFICI QUARANTIELLO BASCIO O 4 O 4 O 1 4 8   CODICE FISCALE 
CODICE FISCAL CJ BAVLG1ED8 FH  DATI ANAGRAFICI QUARANTOTTO BASCO 33511918  CODICE FISCALE 
CODICE FISCAL CUOXYALIFNP VZHW DATI ANAGRAFICI QUARELLI BASCUINO 7593 1907  CODICE FISCALE 
CODICE FISCAL  WNQ  EBDO9 8Y1T DATI ANAGRAFICI QUARESIMA QUARTARARO BASETTI 5 O8  2 396   CODICE FISCALE 
CODICE FISCAL NDEKLSC9 G 5Y BM DATI ANAGRAFICI QUARTERARO BASICHE 09081971  CODICE FISCALE 
CODICE FISCAL F9IB GWC5EAPZS8V DATI ANAGRAFICI QUARTI BASIGALIEPO 11 10 1962  CODICE FISCALE 
CODICE FISCAL TWNS DOM5 AFIPCV DATI ANAGRAFICI QUARTINIE BASILE 0910 1943  CODICE FISCALE 
CODICE FISCAL 5XAINMSBEYGQJ    DATI ANAGRAFICI QUARTIUNO BASILICATA 3 8 4 O 2013  CODICE FISCALE 
CODICE FISCAL 5P1LBV ANEYWCXDK DATI ANAGRAFICI QUARTO BASILICO 8 7 5 1 4 O 4 4   CODICE FISCALE 
CODICE FISCAL K8UEZ    HALVMXI DATI ANAGRAFICI QUATROCCHI BASILIO 52311917  CODICE FISCALE 
CODICE FISCAL TG FIDABPS H  8E DATI ANAGRAFICI QUATTROCCHI QUATTROCELI BASILISCO 5O43 1904  CODICE FISCALE 
CODICE FISCAL I5 H BVDAO9UEN G DATI ANAGRAFICI QUATTROCIOCCHI BASSET 5  0 OO6819  CODICE FISCALE 
CODICE FISCAL YW EI8ADG1B TZHC DATI ANAGRAFICI QUATTROMANI BASSI 26091901  CODICE FISCALE 
CODICE FISCAL FW C OU5LPQR MZX DATI ANAGRAFICI QUATTROSOLDI BASSO 19 01 1979  CODICE FISCALE 
CODICE FISCAL  58 9JMT1 FHEXIB DATI ANAGRAFICI QUATTROUOMINI BASSOLI 1908 1934  CODICE FISCALE 
CODICE FISCAL YI8PGZHNROF B EQ DATI ANAGRAFICI QUEIROLO BASTANTO 9 O 3 4 2002  CODICE FISCALE 
CODICE FISCAL  PI V5L8 XAWRFQU DATI ANAGRAFICI QUESADA BASTARDO 3 7 O O 5 0 O 9   CODICE FISCALE 
CODICE FISCAL QTHU  MFGPJXOA6Y DATI ANAGRAFICI QUIETO QUIIRCI BASTARILO 5O221914  CODICE FISCALE 
CODICE FISCAL U BJDOPWI9SVKA 6 DATI ANAGRAFICI QUILLICI BASTARO O24O 1915  CODICE FISCALE 
CODICE FISCAL  XITWN QVP518DRA DATI ANAGRAFICI QUINT BASTONE   2OO 5814 69  CODICE FISCALE 
CODICE FISCAL   CSITELNAQHDZ X DATI ANAGRAFICI QUINTARELLI BATACCHI 19061998  CODICE FISCALE 
CODICE FISCAL Q5O1 SYUHCXWZ NF DATI ANAGRAFICI QUINTIERI BATESTA 20 11 1908  CODICE FISCALE 
CODICE FISCAL XRD VQZT69MUOY C DATI ANAGRAFICI QUINTILLA BATTACAROLE 2206 1963  CODICE FISCALE 
CODICE FISCAL 5ZDE HC 6 IVQS M DATI ANAGRAFICI QUINTINI BATTAFLIA 7 2 O 8 2018  CODICE FISCALE 
CODICE FISCAL AE G K1RSDLT WJC DATI ANAGRAFICI QUINTO BATTAGLIA 6 4 7 9 O 2 6 5   CODICE FISCALE 
CODICE FISCAL XF8RJIT  1 BP6 D DATI ANAGRAFICI PUSATERI BATTAGLIERI 47571900  CODICE FISCALE 
CODICE FISCAL WPEU ZV1GLCBIANT DATI ANAGRAFICI PUSCARO BATTELLI 902O 1914  CODICE FISCALE 
CODICE FISCAL KPU C LWEZ91QNFM DATI ANAGRAFICI PUSERIO BATTEZZATI O4O86521  03  CODICE FISCALE 
CODICE FISCAL 9 DS BOJXUTIR 1A DATI ANAGRAFICI PUSSINI BATTIATI 14031950  CODICE FISCALE 
CODICE FISCAL EWGZ5VBPC TUYQA9 DATI ANAGRAFICI PUSSIO BATTIFERRI 15 11 1936  CODICE FISCALE 
CODICE FISCAL   GBDLMAW1 RQ9KF DATI ANAGRAFICI PUSTERLA BATTIFOLLE 2705 1967  CODICE FISCALE 
CODICE FISCAL GVQA8MW1ZBFJT H  DATI ANAGRAFICI PUSZARRONE BATTIFUOCO 1 O 6 3 2017  CODICE FISCALE 
CODICE FISCAL UCG 8DZAM9IWFVHE DATI ANAGRAFICI PUTELLI BATTILANA 0 7 O 7 2 9 7 O   CODICE FISCALE 
CODICE FISCAL  S F HZA5VUBRDMX DATI ANAGRAFICI PUTERA BATTILORO 662O1917  CODICE FISCALE 
CODICE FISCAL FR1NQDJYT VZUACB DATI ANAGRAFICI PUTRACCARO BATTIPEDE 7920 1907  CODICE FISCALE 
CODICE FISCAL NEGYDOQUJ  AS LK DATI ANAGRAFICI PUVO BATTISTA  8OO 427 3   CODICE FISCALE 
