CODICE FISCALE  K 8VLZ1FECHJ SIR ,  DATI ANAGRAFICI ABATE ABACO  POK 23 08 1955 F <START:City> ABANO TERME <END>  AG CODICE FISCALE 
ICE FISCALE X 1V9UFNLJISPKQT , ATI ANAGRAFICI MAUNELLA NOBILINA 4 6 8 9 3 O 5 8  F <START:City> ACQUAFREDDA <END>  P Z CODICE FISCALE 
ICE FISCALE R 8ET15 IJP 9FQW , ATI ANAGRAFICI MAUNI NAOMI 1O831915 F <START:City> ACQUALAGNA <END>  P O CODICE FISCALE 
ICE FISCALE V HOLK6JB1P TYG5 , ATI ANAGRAFICI MAURELLO NEDINA 2842 1907 M <START:City> ACQUANEGRA CREMONESE <END>  R G CODICE FISCALE 
ICE FISCALE RFZ59QP 6J HUO T , ATI ANAGRAFICI MAURI NENNELLA 527 O0 8   13 F <START:City> ACQUANEGRA SUL CHIESE <END>  R A CODICE FISCALE 
ICE FISCALE FX8J YCI R PK 69 , ATI ANAGRAFICI MAURICE NICETA 02091951 M <START:City> ACQUAPENDENTE <END>  R C CODICE FISCALE 
ICE FISCALE 6Z PCQO X  HY58  , ATI ANAGRAFICI MAURIELLO NINFA 28 04 1912 F <START:City> ACQUAPPESA <END>  R E CODICE FISCALE 
ICE FISCALE QHE8MI9GUWNJYXR  , ATI ANAGRAFICI MAURO NOEMI 2208 1912 F <START:City> ACQUARICA DEL CAPO <END>  R I CODICE FISCALE 
ICE FISCALE ECO9KDZRJQMN G   , ATI ANAGRAFICI MAUSCALIS NAPOLI 4 8 O 3 2009 M <START:City> ACQUARO <END>  R N CODICE FISCALE 
ICE FISCALE IO Y5GH6A L XKDS , ATI ANAGRAFICI MAUSETTO NEERA 7 3 4 5 2 9 O 3  F <START:City> ACQUASANTA TERME <END>  R M CODICE FISCALE 
ICE FISCALE S 58LIAVQWO   UG , ATI ANAGRAFICI MAZETTE NERA 09O21916 F <START:City> ACQUASPARTA <END>  R O CODICE FISCALE 
ICE FISCALE UPAI8 N QYBLRGZF , ATI ANAGRAFICI MAZZA NICIA 6972 1918 M <START:City> ACQUAVIVA COLLECROCE <END>  S A CODICE FISCALE 
ICE FISCALE  GON9ECD16VPYR 5 , ATI ANAGRAFICI MAZZABUE NINI  0 O65142 3O7 F <START:City> ACQUAVIVA D'ISERNIA <END>  S S CODICE FISCALE 
ICE FISCALE ATOQC68FBDVNZ9SP , ATI ANAGRAFICI MAZZACANE NOEMIA 23041994 F <START:City> ACQUAVIVA DELLE FONTI <END>  S V CODICE FISCALE 
ICE FISCALE MLZEVDAIQ  NKBX  , ATI ANAGRAFICI MAZZAFERI NAPOLINA 26 05 1905 F <START:City> ACQUAVIVA PICENA <END>  S I CODICE FISCALE 
ICE FISCALE XE R VFW ZNQJY9M , ATI ANAGRAFICI MAZZAFERRO NELDA 0602 1911 F <START:City> ACQUAVIVA PLATANI <END>  S R CODICE FISCALE 
ICE FISCALE HYK J6L9 RPXEVT  , ATI ANAGRAFICI MAZZAGALLI NEREA 7 8 2 O 2016 M <START:City> ACQUEDOLCI <END>  S O CODICE FISCALE 
ICE FISCALE RNQU JVWZOFESLDY , ATI ANAGRAFICI MAZZAGATTI NICLA 0 0 O 5 5 8 O 1  F <START:City> ACQUI TERME <END>  T A CODICE FISCALE 
ICE FISCALE  VLYAFCJW OQ1UN5 , ATI ANAGRAFICI MAZZALORSO NINÌ O0561904 M <START:City> ACRI <END>  T E CODICE FISCALE 
ICE FISCALE D GT6 ZJ QK9YBN5 , ATI ANAGRAFICI MAZZAMICI NOLA 5O32 1911 M <START:City> ACUTO <END>  T R CODICE FISCALE 
ICE FISCALE X NRSJ UQHOMG T1 , ATI ANAGRAFICI MAZZAMUTO NARA 14  029 83O  M <START:City> ADELFIA <END>  T P CODICE FISCALE 
ICE FISCALE JXSN5F CLPQ WB9U , ATI ANAGRAFICI MAZZANTE NELIA 29071926 F <START:City> ADRANO <END>  T N CODICE FISCALE 
ICE FISCALE 6ETSFICQXGK9WP V , ATI ANAGRAFICI MAZZAPICA NEREIDE 24 08 1929 M <START:City> ADRARA SAN MARTINO <END>  T V CODICE FISCALE 
ICE FISCALE QFKP5HV1 CO9JEYB , ATI ANAGRAFICI MAZZARA NICODEMA 1803 1912 F <START:City> ADRARA SAN ROCCO <END>  T S CODICE FISCALE 
ICE FISCALE WOIU 1CFEHZ XD 5 , ATI ANAGRAFICI MAZZARELLI NINNI 2 4 3 8 2006 F <START:City> ADRIA <END>  T O CODICE FISCALE 
ICE FISCALE KCRW1ZD UXT6HBY  , ATI ANAGRAFICI MAZZARETO NONA O 3 O 8 O 1 6 4  F <START:City> ADRO <END>  U D CODICE FISCALE 
ICE FISCALE 6LHVEMXJ 8Z9   1 , ATI ANAGRAFICI MAZZARO NARCISA 61951906 M <START:City> AFFI <END>  V A CODICE FISCALE 
ICE FISCALE OJM N6A5QZ  XH8K , ATI ANAGRAFICI MAZZATO NELIDA 9199 1910 M <START:City> AFFILE <END>  V E CODICE FISCALE 
ICE FISCALE LSVTXW 9BD MI 8G , ATI ANAGRAFICI MAZZEI NERELLA 014   36258  F <START:City> AFRAGOLA <END>  V B CODICE FISCALE 
ICE FISCALE   VUYJQICAR5TDE  , ATI ANAGRAFICI MAZZEO NICOLE 05071950 F <START:City> AFRICO <END>  V C CODICE FISCALE 
ICE FISCALE GEDIM6QOHSJ1T9Y  , ATI ANAGRAFICI MAZZERELLA NINUCCIA 06 09 1910 M <START:City> AGAZZANO <END>  V R CODICE FISCALE 
ICE FISCALE Q5  W PHEYSZLV1U , ATI ANAGRAFICI MAZZI NORA 1308 1921 M <START:City> AGEROLA <END>  V V CODICE FISCALE 
ICE FISCALE   G8 6NEMSF9 ZY  , ATI ANAGRAFICI MAZZIERI NARDA 6 7 0 4 2012 F <START:City> AGGIUS <END>  V I CODICE FISCALE 
ICE FISCALE YSXC PUTNWFB6KH5 , ATI ANAGRAFICI MAZZILLO NELIDE 0 5 6 8 0 9 5 O  F <START:City> AGIRA <END>  V T CODICE FISCALE 
ICE FISCALE ER6Z9QA ODJ1V FI , ATI ANAGRAFICI MAZZINGHI NERIA 78511909 M <START:City> AGLIANA <END>  A G CODICE FISCALE 
ICE FISCALE 1GZVON5JX WH AUP , ATI ANAGRAFICI MAZZINI NICOLETTA O526 1915 F <START:City> AGLIANO TERME <END>  A L CODICE FISCALE 
ICE FISCALE NZ1RQ68DWFS AYG  , ATI ANAGRAFICI MAZZINO NINUZZA  68  9427O1 F <START:City> AGLIÈ <END>  A N CODICE FISCALE 
ICE FISCALE ZT9 851PJL WHCOI , ATI ANAGRAFICI MAZZIOTTA NORBERTA 23111973 F <START:City> AGLIENTU <END>  A O CODICE FISCALE 
ICE FISCALE CWTMAEY8PHZ6KLQV , ATI ANAGRAFICI MAZZIOTTI NORDINA 19 02 1936 F <START:City> AGNA <END>  A R CODICE FISCALE 
ICE FISCALE YB S VX9UF1 RKTH , ATI ANAGRAFICI MAZZO NORMA 1310 1963 F <START:City> AGNADELLO <END>  A P CODICE FISCALE 
ICE FISCALE  PYFLHW5UIOBCEQD , ATI ANAGRAFICI MAZZOCCHI NOVARINA 7 4 0 8 2011 M <START:City> AGNANA CALABRA <END>  A T CODICE FISCALE 
ICE FISCALE 16 ZAFQNB 8J  GT , ATI ANAGRAFICI MAZZOCCHIO NOVENIA 6 6 8 9 7 O 5 4  M <START:City> AGNONE <END>  A V CODICE FISCALE 
ICE FISCALE 9YQXV5ZT1R OF 8M , ATI ANAGRAFICI MAZZOLA NUNZIANTE 84321903 F <START:City> AGNOSINE <END>  B A CODICE FISCALE 
ICE FISCALE 1OPGB UJRCSQZA D , ATI ANAGRAFICI MAZZOLARI NUZZA 1O69 1919 M <START:City> AGORDO <END>  B T CODICE FISCALE 
ICE FISCALE  SZ1 QV5M YKTDFN , ATI ANAGRAFICI MAZZOLDI NORETTA 5 6 4802 719 M <START:City> AGOSTA <END>  B L CODICE FISCALE 
ICE FISCALE 6NESCT HG18QOFYR , ATI ANAGRAFICI MAZZOLLO NORMANDA 15021924 F <START:City> AGRA <END>  B N CODICE FISCALE 
ICE FISCALE 6D XYTJ9B5CVW O  , ATI ANAGRAFICI MAZZONE NOVELIA 17 08 1988 F <START:City> AGRATE BRIANZA <END>  B G CODICE FISCALE 
ICE FISCALE 9HTD QZBNUORPFEI , ATI ANAGRAFICI MAZZOTTA NOVILIA 2411 1990 F <START:City> AGRATE CONTURBIA <END>  B I CODICE FISCALE 
ICE FISCALE FZE XV QARB5C1   , ATI ANAGRAFICI MAZZUCCA NUNZIATA 9 1 5 O 2000 M <START:City> AGRIGENTO <END>  B O CODICE FISCALE 
ICE FISCALE RYTCV L9QO5FU HK , ATI ANAGRAFICI MAZZUCCHELLI NORGE 1 1 9 0 1 2 5 8  M <START:City> AGROPOLI <END>  B Z CODICE FISCALE 
ICE FISCALE MF5R W9YV HSE8KO , ATI ANAGRAFICI MAZZUCCO NORMANNA 32121912 M <START:City> AGUGLIANO <END>  B S CODICE FISCALE 
ICE FISCALE L 5NY1 GC9XT8P I , ATI ANAGRAFICI MCIHIARELLA NOVELLA 4263 1903 F <START:City> AGUGLIARO <END>  B R CODICE FISCALE 
ICE FISCALE KS  ORBEF NWP9V  , ATI ANAGRAFICI MEADA NUCCIA 80 356 9 4  F <START:City> AICURZIO <END>  C A CODICE FISCALE 
ICE FISCALE 6QXARE9HWPFS  UD , ATI ANAGRAFICI MEAEDA NUNZIATINA 11071950 F <START:City> AIDOMAGGIORE <END>  C L CODICE FISCALE 
ICE FISCALE 5FVQBW XTO HRJU6 , ATI ANAGRAFICI MEATASSIA NORIDA 11 11 1910 F <START:City> AIDONE <END>  C B CODICE FISCALE 
ICE FISCALE EWR KDXHC1Q  O   , ATI ANAGRAFICI MEAZZELO NORVEGIA 1309 1948 M <START:City> AIELLI <END>  C I CODICE FISCALE 
ICE FISCALE ZAQO X MBK 1IT L , ATI ANAGRAFICI MECCA NOVELLINA 3 O 8 9 2017 M <START:City> AIELLO CALABRO <END>  C E CODICE FISCALE 
ICE FISCALE  ZOCYG6AVNB9EDRJ , ATI ANAGRAFICI MECCIA NULLA 5 O 3 6 4 4 9 9  M <START:City> AIELLO DEL FRIULI <END>  C T CODICE FISCALE 
ICE FISCALE EF56NRV8WGQAJKOT , ATI ANAGRAFICI MECHI NUNZIATELLA 435O1907 F <START:City> AIELLO DEL SABATO <END>  C Z CODICE FISCALE 
ICE FISCALE W91O TKXHLIDUG P , ATI ANAGRAFICI MECI NORINA 5133 1917 M <START:City> AIETA <END>  C H CODICE FISCALE 
ICE FISCALE 9 QFHRSY8 M  JOK , ATI ANAGRAFICI MECO NOTBURGA 097O4216 8 5 M <START:City> AILANO <END>  C O CODICE FISCALE 
ICE FISCALE  GX6NJ85EODH  SF , ATI ANAGRAFICI MEDA NOVEMBRINA 16011959 M <START:City> AILOCHE <END>  C S CODICE FISCALE 
ICE FISCALE MJ8 HLYV9A1P KST , ATI ANAGRAFICI MEDAGLIA NUNCIA 13 09 1901 F <START:City> AIRASCA <END>  C R CODICE FISCALE 
ICE FISCALE PCK B1WD  O8LTRU , ATI ANAGRAFICI MEDAL NUNZIETTA 0603 1933 M <START:City> AIROLA <END>  K R CODICE FISCALE 
ICE FISCALE HTER JWUYALF  CK , ATI ANAGRAFICI MEDALLI NORIS 8 3 9 O 2018 F <START:City> AIROLE <END>  C N CODICE FISCALE 
ICE FISCALE NEY8 V9TOWSI1ZPG , ATI ANAGRAFICI MEDELLO NOVARA 7 3 8 7 8 0 5 5  M <START:City> AIRUNO <END>  E N CODICE FISCALE 
ICE FISCALE B  H5  TPKESUA M , ATI ANAGRAFICI MEDICI NOVEMIA 39121903 F <START:City> AISONE <END>  F M CODICE FISCALE 
ICE FISCALE HL BWVATIGX1Q  F , ATI ANAGRAFICI MEDOLLA NUNZIA 0735 1908 F <START:City> ALA <END>  F E CODICE FISCALE 
ICE FISCALE RU NHJF8ZA15 PXC , ATI ANAGRAFICI MEDORO NUTA   O02371O94  F <START:City> ALÀ DEI SARDI <END>  F I CODICE FISCALE 
ICE FISCALE UJ BTF 1 GIMQ95  , ATI ANAGRAFICI MEDULLA OBERDANA 03071972 F <START:City> ALA DI STURA <END>  F G CODICE FISCALE 
ICE FISCALE K  FDZQP1 VEUSG9 , ATI ANAGRAFICI MEGENZA ODDA 03 08 1990 M <START:City> ALAGNA <END>  F C CODICE FISCALE 
ICE FISCALE PBZ5 HSLUCJM86 D , ATI ANAGRAFICI MEGRO ODESSA 0701 1924 M <START:City> ALAGNA VALSESIA <END>  F R CODICE FISCALE 
ICE FISCALE QAF1EON  X5GT C8 , ATI ANAGRAFICI MEI ODISSEA 6 2 2 O 2001 F <START:City> ALANNO <END>  G E CODICE FISCALE 
ICE FISCALE ALZF YN9RBUP 5Q  , ATI ANAGRAFICI MEIELUCHER ODOSCA 0 0 1 3 O 2 1 2  M <START:City> ALANO DI PIAVE <END>  G O CODICE FISCALE 
ICE FISCALE N IZLXJTP58MKUH  , ATI ANAGRAFICI MELACCIO OLALIA 29541917 M <START:City> ALASSIO <END>  G R CODICE FISCALE 
ICE FISCALE YLX9VCSZKB WGMJT , ATI ANAGRAFICI MELANCO OBERDANIA 3525 1906 M <START:City> ALATRI <END>  I M CODICE FISCALE 
ICE FISCALE MIV  JWFT8QYAKU  , ATI ANAGRAFICI MELARAGNO ODDINA 3  0 475 2O19 F <START:City> ALBA <END>  I S CODICE FISCALE 
ICE FISCALE HSBGWM F X I 1QL , ATI ANAGRAFICI MELARI ODETTA 23031994 F <START:City> ALBA ADRIATICA <END>  S P CODICE FISCALE 
ICE FISCALE ASQUF XRBYN 9OLH , ATI ANAGRAFICI MELATO ODOARDA 16 11 1978 F <START:City> ALBAGIARA <END>  A Q CODICE FISCALE 
ICE FISCALE LA8CTP6FIGNRDJ H , ATI ANAGRAFICI MELAZZO ODOVILIA 3009 1961 M <START:City> ALBAIRATE <END>  L T CODICE FISCALE 
ICE FISCALE YGH LF TJA6 OKEQ , ATI ANAGRAFICI MELCHIORE OLANDA 2 6 7 8 2017 M <START:City> ALBANELLA <END>  L E CODICE FISCALE 
ICE FISCALE H6 FAP9 W 51VKDY , ATI ANAGRAFICI MELE OBERDINA 6 7 O 9 O 4 O 5  M <START:City> ALBANO DI LUCANIA <END>  L C CODICE FISCALE 
ICE FISCALE 9E5RQBHL FGU16N8 , ATI ANAGRAFICI MELEGARI ODE 87741918 F <START:City> ALBANO LAZIALE <END>  L I CODICE FISCALE 
ICE FISCALE 815MBSDUFV YZGXI , ATI ANAGRAFICI MELEGATTI ODETTE 05O5 1909 F <START:City> ALBANO SANT'ALESSANDRO <END>  L O CODICE FISCALE 
ICE FISCALE TJ6V8ZLRKA1 IY H , ATI ANAGRAFICI MELFI ODOARDINA 82 57 469O O1 F <START:City> ALBANO VERCELLESE <END>  L U CODICE FISCALE 
ICE FISCALE TX5B HYQK1 WC OF , ATI ANAGRAFICI MELI ODOVILLA 23081961 M <START:City> ALBAREDO ARNABOLDI <END>  M C CODICE FISCALE 
ICE FISCALE Z PM1RL6S58CFD N , ATI ANAGRAFICI MELIA OLANDINA 28 03 1943 M <START:City> ALBAREDO D'ADIGE <END>  M N CODICE FISCALE 
ICE FISCALE 19LUZFX GTRKIQ   , ATI ANAGRAFICI MELICONI OBERTA 0601 1951 M <START:City> ALBAREDO PER SAN MARCO <END>  M S CODICE FISCALE 
ICE FISCALE  ZBLQHR6EUOW9SP1 , ATI ANAGRAFICI MELILLO ODEA 3 O 5 O 2015 M <START:City> ALBARETO <END>  M T CODICE FISCALE 
ICE FISCALE 1YIVD58ZUHP RNO  , ATI ANAGRAFICI MELISSA ODIANA 4 5 8 0 6 2 7 5  F <START:City> ALBARETTO DELLA TORRE <END>  V S CODICE FISCALE 
ICE FISCALE GEZ81R M6IVJUT5K , ATI ANAGRAFICI MELITA ODOBELLA 984O1910 F <START:City> ALBAVILLA <END>  M E CODICE FISCALE 
ICE FISCALE UYLNDR  P9XSBWA  , ATI ANAGRAFICI MELLA ODOVINA 9761 1917 F <START:City> ALBENGA <END>  M I CODICE FISCALE 
ICE FISCALE G9XUEHM WJKOP56S , ATI ANAGRAFICI MELLACE OLARIA 28   41OO59 M <START:City> ALBERA LIGURE <END>  M O CODICE FISCALE 
ICE FISCALE  G1ILOK NBV HR9E , ATI ANAGRAFICI MELLINI OBERTINA 20101917 F <START:City> ALBEROBELLO <END>  M B CODICE FISCALE 
ICE FISCALE NZSY L XH6FV  CR , ATI ANAGRAFICI MELLO ODEIDA 01 08 1957 F <START:City> ALBERONA <END>  N A CODICE FISCALE 
ICE FISCALE P 5ADWM6IGYCRJSK , ATI ANAGRAFICI MELLONE ODIGITRIA 0110 1979 M <START:City> ALBESE CON CASSANO <END>  N O CODICE FISCALE 
ICE FISCALE 5A YPJC 1E WNH9S , ATI ANAGRAFICI MELOGRANO ODOLETTA 8 O 2 3 2005 M <START:City> ALBETTONE <END>  N U CODICE FISCALE 
ICE FISCALE  T DQW YJI59GZR6 , ATI ANAGRAFICI MELONE ODULIA O O 9 8 0 O 0 O  F <START:City> ALBI <END>  O G CODICE FISCALE 
ICE FISCALE CZ QGMU1  W59PKD , ATI ANAGRAFICI MEMELLA OLAVIA 0O421912 M <START:City> ALBIANO <END>  O T CODICE FISCALE 
ICE FISCALE GEZIW6SF NYX  RL , ATI ANAGRAFICI MEMMI OBIZZA 88OO 1902 F <START:City> ALBIANO D'IVREA <END>  O R CODICE FISCALE 
ICE FISCALE  D15GCN LK MJPH9 , ATI ANAGRAFICI MEMMO ODEIDE  092 6857 1 F <START:City> ALBIATE <END>  P D CODICE FISCALE 
ICE FISCALE CESLNWIFJH1QXUR5 , ATI ANAGRAFICI MEMOLA ODIGLIA 13041983 F <START:City> ALBIDONA <END>  P A CODICE FISCALE 
ICE FISCALE PKBZ 1GDV UE9TYC , ATI ANAGRAFICI MENALOI ODOLIA 09 06 1903 M <START:City> ALBIGNASEGO <END>  P R CODICE FISCALE 
ICE FISCALE RW8L GFM9ATCOV5K , ATI ANAGRAFICI MENAPACE OEMIA 0905 1958 F <START:City> ALBINEA <END>  P V CODICE FISCALE 
ICE FISCALE  9X  P5NDULJKW86 , ATI ANAGRAFICI MENCELLA OLCESE 9 4 7 8 2013 M <START:City> ALBINO <END>  P G CODICE FISCALE 
ICE FISCALE YM 8 1CK9 ESVRLF , ATI ANAGRAFICI MENCHELLAIO OBRIANA 5 O 7 3 4 7 O 3  M <START:City> ALBIOLO <END>  P U CODICE FISCALE 
ICE FISCALE ZC9YLJ6M VATWO Q , ATI ANAGRAFICI MENCHI ODELGA 24151902 F <START:City> ALBISOLA SUPERIORE <END>  P E CODICE FISCALE 
ICE FISCALE R DOXPNVIC5 M8HZ , ATI ANAGRAFICI MENCI ODILA O467 1909 M <START:City> ALBISSOLA MARINA <END>  P C CODICE FISCALE 
ICE FISCALE U  5TMX8KFO DQC  , ATI ANAGRAFICI MENCO ODOLINA 92 O 13 O 05 M <START:City> ALBIZZATE <END>  P I CODICE FISCALE 
ICE FISCALE Z6L8SKAY1R N COF , ATI ANAGRAFICI MENDELLO OFEGLIA 18081965 F <START:City> ALBONESE <END>  P T CODICE FISCALE 
ICE FISCALE BUK EDO9ZQHG JA6 , ATI ANAGRAFICI MENDIA OLDA 18 06 1968 M <START:City> ALBOSAGGIA <END>  P N CODICE FISCALE 
ICE FISCALE UWPTMN6FAO8LC9SE , ATI ANAGRAFICI MENDICO OCEANA 0105 1975 F <START:City> ALBUGNANO <END>  P Z CODICE FISCALE 
ICE FISCALE WOGT68 DJIFR51BC , ATI ANAGRAFICI MENDOZZA ODELIA O 6 8 8 2002 M <START:City> ALBUZZANO <END>  P O CODICE FISCALE 
ICE FISCALE  SPMV H1AXQJBE59 , ATI ANAGRAFICI MENDOZZI ODILE 5 8 4 O 6 O 8 3  M <START:City> ALCAMO <END>  R G CODICE FISCALE 
ICE FISCALE QV8J1ID 6TFWGKCU , ATI ANAGRAFICI MENEGHI ODOLINDA O5661905 M <START:City> ALCARA LI FUSI <END>  R A CODICE FISCALE 
ICE FISCALE WZKQDCMF8HLGTOB1 , ATI ANAGRAFICI MENEGO OFELDA 39O4 1905 F <START:City> ALDENO <END>  R C CODICE FISCALE 
ICE FISCALE B5XZ TURH GC18Y  , ATI ANAGRAFICI MENEGOZZI OLDEA 3  2 096 O785 M <START:City> ALDINO <END>  R E CODICE FISCALE 
ICE FISCALE H8WU 15MKNJ REIO , ATI ANAGRAFICI MENFFDETTE OCEANIA 10081952 F <START:City> ALES <END>  R I CODICE FISCALE 
ICE FISCALE Z 9SHF1PRV6CLNTK , ATI ANAGRAFICI MENGHI ODELIDE 03 10 1957 F <START:City> ALESSANDRIA <END>  R N CODICE FISCALE 
ICE FISCALE  9BSOKR DIGA16T  , ATI ANAGRAFICI MENGO ODILIA 2008 1993 F <START:City> ALESSANDRIA DEL CARRETTO <END>  R M CODICE FISCALE 
ICE FISCALE 5J XWD T CBFSOPH , ATI ANAGRAFICI MENGRINO ODONELLA 8 6 9 O 2017 F <START:City> ALESSANDRIA DELLA ROCCA <END>  R O CODICE FISCALE 
ICE FISCALE CJARZ5  YOLXN9WV , ATI ANAGRAFICI MENICI OFELIA 5 4 7 O 3 6 9 O  F <START:City> ALESSANO <END>  S A CODICE FISCALE 
ICE FISCALE  BQ1 XN UVDHS F6 , ATI ANAGRAFICI MENICO OLDERINA 45061917 F <START:City> ALEZIO <END>  S S CODICE FISCALE 
ICE FISCALE   WT6HXVKSZOLBC  , ATI ANAGRAFICI MENINNO OCLIDE O187 1902 M <START:City> ALFANO <END>  S V CODICE FISCALE 
ICE FISCALE GUOZFXBIM P DQ V , ATI ANAGRAFICI MENIS ODELTA 37 86 OO 0 4  F <START:City> ALFEDENA <END>  S I CODICE FISCALE 
ICE FISCALE  TG6Z SRHM9JF 8K , ATI ANAGRAFICI MENNA ODILLA 22091979 M <START:City> ALFIANELLO <END>  S R CODICE FISCALE 
ICE FISCALE M FITJEL6 5UKX 9 , ATI ANAGRAFICI MENNO ODIRICA 24 10 1906 M <START:City> ALFIANO NATTA <END>  S O CODICE FISCALE 
ICE FISCALE JVQPD1KU ATLE YH , ATI ANAGRAFICI MENNOMIA OFEMIA 2108 1923 M <START:City> ALFONSINE <END>  T A CODICE FISCALE 
ICE FISCALE WNX5B 81 F9R PHT , ATI ANAGRAFICI MENNONA OLDERICA 6 4 6 2 2005 F <START:City> ALGHERO <END>  T E CODICE FISCALE 
ICE FISCALE T5M6  9 KVNQG8OE , ATI ANAGRAFICI MENNUTI ODA 7 4 7 3 O 3 8 O  M <START:City> ALGUA <END>  T R CODICE FISCALE 
ICE FISCALE PER5DO  J1 XGNQM , ATI ANAGRAFICI MENONI ODEMIA 18911904 F <START:City> ALÌ <END>  T P CODICE FISCALE 
ICE FISCALE  FMO56C8YAX 9KZ  , ATI ANAGRAFICI MENOTTI ODILLE 7559 1902 M <START:City> ALÌ TERME <END>  T N CODICE FISCALE 
ICE FISCALE  H6 CXFL8O BDSYJ , ATI ANAGRAFICI MENOZZI ODORICE 4OO 072 3 695 F <START:City> ALIA <END>  T V CODICE FISCALE 
ICE FISCALE U 1 MIDCN9BYXWPQ , ATI ANAGRAFICI MENSA OFFELIA 13051981 F <START:City> ALIANO <END>  T S CODICE FISCALE 
ICE FISCALE 1ROBWXEY   95C8N , ATI ANAGRAFICI MENSICHELLA OLDINA 05 10 1963 F <START:City> ALICE BEL COLLE <END>  T O CODICE FISCALE 
ICE FISCALE UM6RSOK9FABJPLD5 , ATI ANAGRAFICI MENTASTRO ODABELLA 1806 1950 M <START:City> ALICE CASTELLO <END>  U D CODICE FISCALE 
ICE FISCALE TY58 GFJ D 6E RP , ATI ANAGRAFICI MENTESANO ODENA 7 4 5 9 2000 F <START:City> ALIFE <END>  V A CODICE FISCALE 
ICE FISCALE RBCVMHQW LZ8 F E , ATI ANAGRAFICI MENTI ODILLIA 4 8 2 4 7 4 8 O  M <START:City> ALIMENA <END>  V E CODICE FISCALE 
ICE FISCALE FK  RQXPAO16MTI  , ATI ANAGRAFICI MENTO ODORINA 60O51902 F <START:City> ALIMINUSA <END>  V B CODICE FISCALE 
ICE FISCALE IA  ERL 6XVUKF   , ATI ANAGRAFICI MENTONE OGARITA 89O7 1911 M <START:City> ALLAI <END>  V C CODICE FISCALE 
ICE FISCALE CA IOQ6SEZ1FMGKJ , ATI ANAGRAFICI MENZIERI OLEA  O 392 0 1 4 M <START:City> ALLEGHE <END>  V R CODICE FISCALE 
ICE FISCALE  98 CZ RGFUD6WL  , ATI ANAGRAFICI MEO ODALIA 01021986 M <START:City> ALLEIN <END>  V V CODICE FISCALE 
ICE FISCALE I P  OUS MQKVL H , ATI ANAGRAFICI MEOMARTINI ODERICA 18 10 1974 M <START:City> ALLERONA <END>  V I CODICE FISCALE 
ICE FISCALE AY I9WRCV  LPT1  , ATI ANAGRAFICI MERCADABE ODINA 2804 1947 F <START:City> ALLISTE <END>  V T CODICE FISCALE 
ICE FISCALE N9GJSM ZEXB IWRA , ATI ANAGRAFICI MERCALIO ODORINDA 3 9 O 1 2018 M <START:City> ALLUMIERE <END>  A G CODICE FISCALE 
ICE FISCALE AM IGU6X WECPR85 , ATI ANAGRAFICI MERCANTI OGLIANA O 7 4 7 2 6 6 4  M <START:City> ALLUVIONI PIOVERA <END>  A L CODICE FISCALE 
ICE FISCALE 5  ZVKQEXUJC 19F , ATI ANAGRAFICI MERCATANTE OLEANA 94981918 F <START:City> ALMÈ <END>  A N CODICE FISCALE 
ICE FISCALE  8OA JTRL D5VEWS , ATI ANAGRAFICI MERCATI ODALISCA 5095 1913 M <START:City> ALMENNO SAN BARTOLOMEO <END>  A O CODICE FISCALE 
ICE FISCALE 6K NFEIO WSL 9GY , ATI ANAGRAFICI MERCEDE ODES   47O39 5 80 M <START:City> ALMENNO SAN SALVATORE <END>  A R CODICE FISCALE 
ICE FISCALE ADR6XNF  HKUIO89 , ATI ANAGRAFICI MERCHANT ODINEA 20021972 F <START:City> ALMESE <END>  A P CODICE FISCALE 
ICE FISCALE J8MQB L9ARGOVY   , ATI ANAGRAFICI MERCIAIO ODORISIA 19 05 1922 M <START:City> ALONTE <END>  A T CODICE FISCALE 
ICE FISCALE ZOHYBI869 5AE JS , ATI ANAGRAFICI MERCIANTE OISE 2405 1983 M <START:City> ALPETTE <END>  A V CODICE FISCALE 
ICE FISCALE   TOICEDUW8YK1Z  , ATI ANAGRAFICI MERCOLINO OLEANDRA O 5 3 O 2016 F <START:City> ALPIGNANO <END>  B A CODICE FISCALE 
ICE FISCALE MGIAFK91WDTJCNP  , ATI ANAGRAFICI MERCORINO ODARDA 3 5 O O 7 O 4 1  F <START:City> ALSENO <END>  B T CODICE FISCALE 
ICE FISCALE WRZLAQMH PBSXFEO , ATI ANAGRAFICI MERCURI ODESCA 17941913 M <START:City> ALSERIO <END>  B L CODICE FISCALE 
ICE FISCALE HQB5WLDEUK18 PN  , ATI ANAGRAFICI MERCURIO ODINELLA 37O4 1903 M <START:City> ALTA VALLE INTELVI <END>  B N CODICE FISCALE 
ICE FISCALE   US6H LR8IVYB A , ATI ANAGRAFICI MEREALE ODORIZIA 5O O 63478 01 F <START:City> ALTA VAL TIDONE <END>  B G CODICE FISCALE 
ICE FISCALE 5ZCYT BK WIA  V  , ATI ANAGRAFICI MERECORO OLA 23021929 F <START:City> ALTAMURA <END>  B I CODICE FISCALE 
ICE FISCALE TS 8HYGJEL5Z6I   , ATI ANAGRAFICI MEREGLEONE OLELIA 01 01 1913 F <START:City> ALTARE <END>  B O CODICE FISCALE 
